Data Table for Daily Case Trends - Florida
Date generated: Sun Nov 07 2021 12:43:08 GMT-0500 (Eastern Standard Time)
State,Date,New Cases,7-Day Moving Avg
Florida,Nov  5 2021,1610,1537
Florida,Nov  4 2021,1635,1558
Florida,Nov  3 2021,1784,1622
Florida,Nov  2 2021,1799,1703
Florida,Nov  1 2021,2056,1718
Florida,Oct 31 2021,941,1715
Florida,Oct 30 2021,939,1716
Florida,Oct 29 2021,1755,1777
Florida,Oct 28 2021,2082,1848
Florida,Oct 27 2021,2354,1846
Florida,Oct 26 2021,1903,1858
Florida,Oct 25 2021,2036,1967
Florida,Oct 24 2021,944,1984
Florida,Oct 23 2021,1370,2111
Florida,Oct 22 2021,2248,2131
Florida,Oct 21 2021,2068,2186
Florida,Oct 20 2021,2443,2301
Florida,Oct 19 2021,2660,2445
Florida,Oct 18 2021,2157,2434
Florida,Oct 17 2021,1832,2508
Florida,Oct 16 2021,1510,2513
Florida,Oct 15 2021,2635,2707
Florida,Oct 14 2021,2876,2790
Florida,Oct 13 2021,3446,2940
Florida,Oct 12 2021,2586,3011
Florida,Oct 11 2021,2674,3179
Florida,Oct 10 2021,1867,3320
Florida,Oct  9 2021,2870,3441
Florida,Oct  8 2021,3213,3488
Florida,Oct  7 2021,3930,3672
Florida,Oct  6 2021,3943,3959
Florida,Oct  5 2021,3758,4109
Florida,Oct  4 2021,3664,4406
Florida,Oct  3 2021,2715,4614
Florida,Oct  2 2021,3197,4753
Florida,Oct  1 2021,4502,5019
Florida,Sep 30 2021,5935,5402
Florida,Sep 29 2021,4993,5673
Florida,Sep 28 2021,5841,5871
Florida,Sep 27 2021,5117,6483
Florida,Sep 26 2021,3689,6750
Florida,Sep 25 2021,5061,7130
Florida,Sep 24 2021,7184,7652
Florida,Sep 23 2021,7827,8046
Florida,Sep 22 2021,6378,8573
Florida,Sep 21 2021,10131,9003
Florida,Sep 20 2021,6982,9102
Florida,Sep 19 2021,6350,9642
Florida,Sep 18 2021,8715,9663
Florida,Sep 17 2021,9940,10618
Florida,Sep 16 2021,11518,10513
Florida,Sep 15 2021,9390,11424
Florida,Sep 14 2021,10819,11868
Florida,Sep 13 2021,10764,12303
Florida,Sep 12 2021,6501,12220
Florida,Sep 11 2021,15399,12881
Florida,Sep 10 2021,9205,13146
Florida,Sep  9 2021,17892,14273
Florida,Sep  8 2021,12498,14299
Florida,Sep  7 2021,13867,15593
Florida,Sep  6 2021,10184,16352
Florida,Sep  5 2021,11124,17569
Florida,Sep  4 2021,17252,17848
Florida,Sep  3 2021,17100,17914
Florida,Sep  2 2021,18072,18523
Florida,Sep  1 2021,21553,19907
Florida,Aug 31 2021,19180,19873
Florida,Aug 30 2021,18705,20894
Florida,Aug 29 2021,13075,21266
Florida,Aug 28 2021,17717,21495
Florida,Aug 27 2021,21362,21540
Florida,Aug 26 2021,27759,21665
Florida,Aug 25 2021,21317,21160
Florida,Aug 24 2021,26325,21575
Florida,Aug 23 2021,21312,21173
Florida,Aug 22 2021,14676,21232
Florida,Aug 21 2021,18032,21595
Florida,Aug 20 2021,22240,21364
Florida,Aug 19 2021,24221,21368
Florida,Aug 18 2021,24221,21610
Florida,Aug 17 2021,23509,21561
Florida,Aug 16 2021,21729,21734
Florida,Aug 15 2021,17214,21551
Florida,Aug 14 2021,16416,21277
Florida,Aug 13 2021,22267,21724
Florida,Aug 12 2021,25920,21612
Florida,Aug 11 2021,23875,21358
Florida,Aug 10 2021,24721,21200
Florida,Aug  9 2021,20445,20555
Florida,Aug  8 2021,15297,20072
Florida,Aug  7 2021,19543,19765
Florida,Aug  6 2021,21486,19508
Florida,Aug  5 2021,24145,19263
Florida,Aug  4 2021,22765,18914
Florida,Aug  3 2021,20209,18087
Florida,Aug  2 2021,17064,17696
Florida,Aug  1 2021,13146,17546
Florida,Jul 31 2021,17747,17131
Florida,Jul 30 2021,19771,16460
Florida,Jul 29 2021,21702,15750
Florida,Jul 28 2021,16973,14683
Florida,Jul 27 2021,17474,14167
Florida,Jul 26 2021,16013,13341
Florida,Jul 25 2021,10242,12376
Florida,Jul 24 2021,13046,11931
Florida,Jul 23 2021,14800,11201
Florida,Jul 22 2021,14237,10402
Florida,Jul 21 2021,13362,9584
Florida,Jul 20 2021,11689,8848
Florida,Jul 19 2021,9258,8180
Florida,Jul 18 2021,7126,7779
Florida,Jul 17 2021,7935,7408
Florida,Jul 16 2021,9212,6998
Florida,Jul 15 2021,8512,6464
Florida,Jul 14 2021,8210,6008
Florida,Jul 13 2021,7013,5524
Florida,Jul 12 2021,6447,5083
Florida,Jul 11 2021,4532,4406
Florida,Jul 10 2021,5060,4012
Florida,Jul  9 2021,5480,3642
Florida,Jul  8 2021,5314,3308
Florida,Jul  7 2021,4827,2959
Florida,Jul  6 2021,3923,2680
Florida,Jul  5 2021,1708,2469
Florida,Jul  4 2021,1778,2554
Florida,Jul  3 2021,2464,2517
Florida,Jul  2 2021,3143,2421
Florida,Jul  1 2021,2873,2274
Florida,Jun 30 2021,2871,2135
Florida,Jun 29 2021,2447,1998
Florida,Jun 28 2021,2307,1934
Florida,Jun 27 2021,1514,1857
Florida,Jun 26 2021,1795,1790
Florida,Jun 25 2021,2117,1776
Florida,Jun 24 2021,1894,1681
Florida,Jun 23 2021,1915,1676
Florida,Jun 22 2021,1997,1622
Florida,Jun 21 2021,1772,1587
Florida,Jun 20 2021,1046,1525
Florida,Jun 19 2021,1693,1521
Florida,Jun 18 2021,1456,1471
Florida,Jun 17 2021,1856,1490
Florida,Jun 16 2021,1540,1510
Florida,Jun 15 2021,1748,1557
Florida,Jun 14 2021,1338,1548
Florida,Jun 13 2021,1019,1560
Florida,Jun 12 2021,1346,1589
Florida,Jun 11 2021,1585,1609
Florida,Jun 10 2021,1994,1688
Florida,Jun  9 2021,1869,1743
Florida,Jun  8 2021,1688,1739
Florida,Jun  7 2021,1419,1675
Florida,Jun  6 2021,1224,1650
Florida,Jun  5 2021,1486,1659
Florida,Jun  4 2021,2141,1654
Florida,Jun  3 2021,2379,1630
Florida,Jun  2 2021,1841,1621
Florida,Jun  1 2021,1241,1683
Florida,May 31 2021,1238,1835
Florida,May 30 2021,1293,1926
Florida,May 29 2021,1445,1966
Florida,May 28 2021,1979,2048
Florida,May 27 2021,2310,2236
Florida,May 26 2021,2276,2237
Florida,May 25 2021,2308,2321
Florida,May 24 2021,1873,2395
Florida,May 23 2021,1575,2520
Florida,May 22 2021,2020,2575
Florida,May 21 2021,3295,2631
Florida,May 20 2021,2314,2626
Florida,May 19 2021,2863,2800
Florida,May 18 2021,2827,2963
Florida,May 17 2021,2750,3008
Florida,May 16 2021,1961,3078
Florida,May 15 2021,2411,3122
Florida,May 14 2021,3257,3231
Florida,May 13 2021,3533,3326
Florida,May 12 2021,4005,3428
Florida,May 11 2021,3145,3511
Florida,May 10 2021,3238,3686
Florida,May  9 2021,2268,3746
Florida,May  8 2021,3171,3869
Florida,May  7 2021,3923,3968
Florida,May  6 2021,4251,4174
Florida,May  5 2021,4584,4318
Florida,May  4 2021,4373,4469
Florida,May  3 2021,3653,4573
Florida,May  2 2021,3130,4796
Florida,May  1 2021,3868,4856
Florida,Apr 30 2021,5361,4970
Florida,Apr 29 2021,5260,5240
Florida,Apr 28 2021,5643,5182
Florida,Apr 27 2021,5098,5319
Florida,Apr 26 2021,5214,5382
Florida,Apr 25 2021,3550,5438
Florida,Apr 24 2021,4667,5541
Florida,Apr 23 2021,7252,5710
Florida,Apr 22 2021,4853,5572
Florida,Apr 21 2021,6604,5910
Florida,Apr 20 2021,5536,5924
Florida,Apr 19 2021,5607,6086
Florida,Apr 18 2021,4274,6574
Florida,Apr 17 2021,5850,6197
Florida,Apr 16 2021,6282,6147
Florida,Apr 15 2021,7220,6213
Florida,Apr 14 2021,6701,6179
Florida,Apr 13 2021,6668,6324
Florida,Apr 12 2021,9025,6195
Florida,Apr 11 2021,1637,5682
Florida,Apr 10 2021,5500,5951
Florida,Apr  9 2021,6744,5849
Florida,Apr  8 2021,6979,5717
Florida,Apr  7 2021,7715,5622
Florida,Apr  6 2021,5770,5514
Florida,Apr  5 2021,5435,5397
Florida,Apr  4 2021,3519,5348
Florida,Apr  3 2021,4782,5354
Florida,Apr  2 2021,5822,5360
Florida,Apr  1 2021,6315,5336
Florida,Mar 31 2021,6959,5265
Florida,Mar 30 2021,4950,5098
Florida,Mar 29 2021,5091,5125
Florida,Mar 28 2021,3565,5150
Florida,Mar 27 2021,4824,5062
Florida,Mar 26 2021,5651,4936
Florida,Mar 25 2021,5819,4827
Florida,Mar 24 2021,5790,4718
Florida,Mar 23 2021,5141,4727
Florida,Mar 22 2021,5264,4658
Florida,Mar 21 2021,2947,4565
Florida,Mar 20 2021,3946,4554
Florida,Mar 19 2021,4883,4533
Florida,Mar 18 2021,5061,4570
Florida,Mar 17 2021,5850,4566
Florida,Mar 16 2021,4658,4444
Florida,Mar 15 2021,4612,4463
