Data Table for Daily Case Trends - North Carolina
Date generated: Sun Nov 07 2021 12:42:02 GMT-0500 (Eastern Standard Time)
State,Date,New Cases,7-Day Moving Avg
North Carolina,Nov  5 2021,1997,1734
North Carolina,Nov  4 2021,2201,1786
North Carolina,Nov  3 2021,1777,1828
North Carolina,Nov  2 2021,1214,1883
North Carolina,Nov  1 2021,4950,1901
North Carolina,Oct 31 2021,0,2014
North Carolina,Oct 30 2021,0,2014
North Carolina,Oct 29 2021,2366,2014
North Carolina,Oct 28 2021,2493,2049
North Carolina,Oct 27 2021,2160,2122
North Carolina,Oct 26 2021,1340,2186
North Carolina,Oct 25 2021,5745,2191
North Carolina,Oct 24 2021,0,1701
North Carolina,Oct 23 2021,0,2031
North Carolina,Oct 22 2021,2609,2361
North Carolina,Oct 21 2021,3003,2443
North Carolina,Oct 20 2021,2610,2551
North Carolina,Oct 19 2021,1374,2641
North Carolina,Oct 18 2021,2311,2751
North Carolina,Oct 17 2021,2311,2873
North Carolina,Oct 16 2021,2311,2995
North Carolina,Oct 15 2021,3182,3117
North Carolina,Oct 14 2021,3761,3245
North Carolina,Oct 13 2021,3239,3247
North Carolina,Oct 12 2021,2148,3299
North Carolina,Oct 11 2021,3165,3378
North Carolina,Oct 10 2021,3162,3435
North Carolina,Oct  9 2021,3162,3492
North Carolina,Oct  8 2021,4078,3549
North Carolina,Oct  7 2021,3781,3675
North Carolina,Oct  6 2021,3598,3816
North Carolina,Oct  5 2021,2703,3986
North Carolina,Oct  4 2021,3563,4095
North Carolina,Oct  3 2021,3561,4229
North Carolina,Oct  2 2021,3561,4362
North Carolina,Oct  1 2021,4963,4496
North Carolina,Sep 30 2021,4765,4616
North Carolina,Sep 29 2021,4789,4786
North Carolina,Sep 28 2021,3469,4104
North Carolina,Sep 27 2021,4496,3952
North Carolina,Sep 26 2021,4496,3578
North Carolina,Sep 25 2021,4496,3307
North Carolina,Sep 24 2021,5805,3395
North Carolina,Sep 23 2021,5953,3389
North Carolina,Sep 22 2021,15,3426
North Carolina,Sep 21 2021,2409,4416
North Carolina,Sep 20 2021,1877,5350
North Carolina,Sep 19 2021,2595,5515
North Carolina,Sep 18 2021,5115,5670
North Carolina,Sep 17 2021,5765,5924
North Carolina,Sep 16 2021,6211,6192
North Carolina,Sep 15 2021,6943,6626
North Carolina,Sep 14 2021,8944,7220
North Carolina,Sep 13 2021,3037,6397
North Carolina,Sep 12 2021,3677,6441
North Carolina,Sep 11 2021,6893,6478
North Carolina,Sep 10 2021,7644,6504
North Carolina,Sep  9 2021,9245,6549
North Carolina,Sep  8 2021,11104,6360
North Carolina,Sep  7 2021,3183,6024
North Carolina,Sep  6 2021,3344,6983
North Carolina,Sep  5 2021,3934,6997
North Carolina,Sep  4 2021,7078,7060
North Carolina,Sep  3 2021,7959,7111
North Carolina,Sep  2 2021,7924,7069
North Carolina,Sep  1 2021,8749,7107
North Carolina,Aug 31 2021,9894,7021
North Carolina,Aug 30 2021,3443,6994
North Carolina,Aug 29 2021,4377,7004
North Carolina,Aug 28 2021,7435,6944
North Carolina,Aug 27 2021,7663,6833
North Carolina,Aug 26 2021,8194,6710
North Carolina,Aug 25 2021,8143,6511
North Carolina,Aug 24 2021,9708,6279
North Carolina,Aug 23 2021,3513,6027
North Carolina,Aug 22 2021,3954,5971
North Carolina,Aug 21 2021,6662,5876
North Carolina,Aug 20 2021,6802,5746
North Carolina,Aug 19 2021,6800,5633
North Carolina,Aug 18 2021,6520,5534
North Carolina,Aug 17 2021,7939,5494
North Carolina,Aug 16 2021,3125,5349
North Carolina,Aug 15 2021,3289,5324
North Carolina,Aug 14 2021,5748,5276
North Carolina,Aug 13 2021,6013,5140
North Carolina,Aug 12 2021,6106,5006
North Carolina,Aug 11 2021,6243,4823
North Carolina,Aug 10 2021,6919,4611
North Carolina,Aug  9 2021,2955,4372
North Carolina,Aug  8 2021,2952,4281
North Carolina,Aug  7 2021,4795,4218
North Carolina,Aug  6 2021,5073,4041
North Carolina,Aug  5 2021,4826,3869
North Carolina,Aug  4 2021,4761,3682
North Carolina,Aug  3 2021,5243,3497
North Carolina,Aug  2 2021,2322,3304
North Carolina,Aug  1 2021,2509,3219
North Carolina,Jul 31 2021,3557,3087
North Carolina,Jul 30 2021,3866,2887
North Carolina,Jul 29 2021,3522,2669
North Carolina,Jul 28 2021,3463,2470
North Carolina,Jul 27 2021,3893,2252
North Carolina,Jul 26 2021,1725,1991
North Carolina,Jul 25 2021,1583,1878
North Carolina,Jul 24 2021,2157,1775
North Carolina,Jul 23 2021,2342,1660
North Carolina,Jul 22 2021,2127,1490
North Carolina,Jul 21 2021,1937,1355
North Carolina,Jul 20 2021,2070,1248
North Carolina,Jul 19 2021,933,1130
North Carolina,Jul 18 2021,864,1087
North Carolina,Jul 17 2021,1348,1049
North Carolina,Jul 16 2021,1155,977
North Carolina,Jul 15 2021,1182,922
North Carolina,Jul 14 2021,1189,858
North Carolina,Jul 13 2021,1241,812
North Carolina,Jul 12 2021,635,724
North Carolina,Jul 11 2021,595,663
North Carolina,Jul 10 2021,847,633
North Carolina,Jul  9 2021,771,588
North Carolina,Jul  8 2021,734,556
North Carolina,Jul  7 2021,865,520
North Carolina,Jul  6 2021,627,468
North Carolina,Jul  5 2021,202,456
North Carolina,Jul  4 2021,390,463
North Carolina,Jul  3 2021,527,443
North Carolina,Jul  2 2021,549,428
North Carolina,Jul  1 2021,483,406
North Carolina,Jun 30 2021,504,398
North Carolina,Jun 29 2021,542,383
North Carolina,Jun 28 2021,247,376
North Carolina,Jun 27 2021,252,370
North Carolina,Jun 26 2021,425,368
North Carolina,Jun 25 2021,390,362
North Carolina,Jun 24 2021,429,362
North Carolina,Jun 23 2021,402,370
North Carolina,Jun 22 2021,491,375
North Carolina,Jun 21 2021,206,380
North Carolina,Jun 20 2021,233,385
North Carolina,Jun 19 2021,386,385
North Carolina,Jun 18 2021,390,381
North Carolina,Jun 17 2021,488,388
North Carolina,Jun 16 2021,437,382
North Carolina,Jun 15 2021,522,387
North Carolina,Jun 14 2021,244,385
North Carolina,Jun 13 2021,229,385
North Carolina,Jun 12 2021,362,396
North Carolina,Jun 11 2021,438,413
North Carolina,Jun 10 2021,446,425
North Carolina,Jun  9 2021,469,441
North Carolina,Jun  8 2021,508,493
North Carolina,Jun  7 2021,245,453
North Carolina,Jun  6 2021,305,459
North Carolina,Jun  5 2021,482,461
North Carolina,Jun  4 2021,524,476
North Carolina,Jun  3 2021,560,492
North Carolina,Jun  2 2021,833,509
North Carolina,Jun  1 2021,224,510
North Carolina,May 31 2021,291,618
North Carolina,May 30 2021,316,640
North Carolina,May 29 2021,586,659
North Carolina,May 28 2021,635,683
North Carolina,May 27 2021,682,726
North Carolina,May 26 2021,838,764
North Carolina,May 25 2021,979,792
North Carolina,May 24 2021,444,832
North Carolina,May 23 2021,455,843
North Carolina,May 22 2021,748,857
North Carolina,May 21 2021,936,893
North Carolina,May 20 2021,952,908
North Carolina,May 19 2021,1036,931
North Carolina,May 18 2021,1258,961
North Carolina,May 17 2021,518,1005
North Carolina,May 16 2021,554,1016
North Carolina,May 15 2021,999,1039
North Carolina,May 14 2021,1041,1075
North Carolina,May 13 2021,1115,1136
North Carolina,May 12 2021,1245,1208
North Carolina,May 11 2021,1566,1263
North Carolina,May 10 2021,598,1319
North Carolina,May  9 2021,712,1360
North Carolina,May  8 2021,1250,1388
North Carolina,May  7 2021,1470,1436
North Carolina,May  6 2021,1617,1475
North Carolina,May  5 2021,1630,1504
North Carolina,May  4 2021,1962,1555
North Carolina,May  3 2021,880,1610
North Carolina,May  2 2021,912,1626
North Carolina,May  1 2021,1582,1644
North Carolina,Apr 30 2021,1746,1651
North Carolina,Apr 29 2021,1820,1657
North Carolina,Apr 28 2021,1987,1698
North Carolina,Apr 27 2021,2346,1717
North Carolina,Apr 26 2021,995,1746
North Carolina,Apr 25 2021,1035,1758
North Carolina,Apr 24 2021,1630,1775
North Carolina,Apr 23 2021,1791,1824
North Carolina,Apr 22 2021,2105,1872
North Carolina,Apr 21 2021,2122,1906
North Carolina,Apr 20 2021,2545,1950
North Carolina,Apr 19 2021,1078,1982
North Carolina,Apr 18 2021,1156,2007
North Carolina,Apr 17 2021,1973,2013
North Carolina,Apr 16 2021,2127,2024
North Carolina,Apr 15 2021,2341,2009
North Carolina,Apr 14 2021,2430,1978
North Carolina,Apr 13 2021,2775,1933
North Carolina,Apr 12 2021,1251,1856
North Carolina,Apr 11 2021,1199,1775
North Carolina,Apr 10 2021,2046,1752
North Carolina,Apr  9 2021,2023,1656
North Carolina,Apr  8 2021,2127,1626
North Carolina,Apr  7 2021,2114,1600
North Carolina,Apr  6 2021,2234,1576
North Carolina,Apr  5 2021,688,1583
North Carolina,Apr  4 2021,1032,1627
North Carolina,Apr  3 2021,1375,1637
North Carolina,Apr  2 2021,1814,1691
North Carolina,Apr  1 2021,1947,1711
North Carolina,Mar 31 2021,1942,1727
North Carolina,Mar 30 2021,2284,1737
North Carolina,Mar 29 2021,996,1750
North Carolina,Mar 28 2021,1103,1747
North Carolina,Mar 27 2021,1756,1739
North Carolina,Mar 26 2021,1955,1728
North Carolina,Mar 25 2021,2053,1677
North Carolina,Mar 24 2021,2018,1669
North Carolina,Mar 23 2021,2372,1639
North Carolina,Mar 22 2021,976,1621
North Carolina,Mar 21 2021,1043,1622
North Carolina,Mar 20 2021,1680,1635
North Carolina,Mar 19 2021,1598,1633
North Carolina,Mar 18 2021,1996,1637
North Carolina,Mar 17 2021,1812,1615
North Carolina,Mar 16 2021,2245,1588
North Carolina,Mar 15 2021,985,1588
North Carolina,Mar 14 2021,1129,1573
North Carolina,Mar 13 2021,1668,1551
North Carolina,Mar 12 2021,1630,1543
North Carolina,Mar 11 2021,1840,1553
North Carolina,Mar 10 2021,1623,1563
North Carolina,Mar  9 2021,2244,1633
North Carolina,Mar  8 2021,881,1676
North Carolina,Mar  7 2021,975,1691
North Carolina,Mar  6 2021,1614,1722
North Carolina,Mar  5 2021,1697,1763
North Carolina,Mar  4 2021,1909,1822
North Carolina,Mar  3 2021,2114,1873
North Carolina,Mar  2 2021,2546,1930
North Carolina,Mar  1 2021,983,2029
North Carolina,Feb 28 2021,1195,2077
North Carolina,Feb 27 2021,1900,2130
