Dock,Mat,Shell,Barnacles,Arb. Bryo.,Enc. Bryo.,   Tubeworms,Hydroids,Tunicates,Oysters,Sponges,Anemones,Algae,Biofilm,Slippersnail,Feather Duster Worm,Amphipod Tubes,Bare Shell,Ribbed Mussel,Silt,Green Lipped Mussel,Whelk Eggs,Season,Date
A1A,1-South,pink,50,0,0,0,0,0,15,0,0,0,34,1,0,0,0,0,0,0,0,fall,10/28/2020
A1A,1-South,purple,85,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,fall,10/28/2020
A1A,1-South,red,60,0,5,0,0,5,0,0,0,0,29,1,0,0,0,0,0,0,0,fall,10/28/2020
A1A,1-South,yellow,60,0,5,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,fall,10/28/2020
A1A,1-South,aqua,60,0,0,0,0,0,15,0,0,15,8,2,0,0,0,0,0,0,0,fall,10/28/2020
A1A,1-South,green,70,0,0,0,0,5,0,0,0,10,15,0,0,0,0,0,0,0,0,fall,10/28/2020
A1A,2-South,red,60,0,0,0,0,5,20,0,0,10,5,0,0,0,0,0,0,0,0,fall,10/28/2020
A1A,2-South,green,80,0,0,0,0,0,0,0,0,0,15,0,0,0,5,0,0,0,0,fall,10/28/2020
A1A,2-South,yellow,70,0,10,0,10,0,0,0,0,0,5,0,0,0,5,0,0,0,0,fall,10/28/2020
A1A,2-South,pink,85,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,fall,10/28/2020
A1A,2-South,purple,65,0,0,0,0,0,5,0,0,0,15,5,0,0,10,0,0,0,0,fall,10/28/2020
A1A,2-South,aqua,70,0,0,0,5,0,0,15,0,2,8,0,0,0,0,0,0,0,0,fall,10/28/2020
A1A,3-South ,aqua,60,0,0,0,0,0,0,0,0,0,10,0,0,0,30,0,0,0,0,fall,10/28/2020
A1A,3-South ,red,55,0,5,0,5,5,10,0,0,0,5,0,0,0,15,0,0,0,0,fall,10/28/2020
A1A,3-South ,green,80,0,0,0,0,10,5,0,0,0,5,0,0,0,0,0,0,0,0,fall,10/28/2020
A1A,3-South ,pink,55,0,0,0,0,0,5,15,0,0,5,0,0,0,0,0,0,0,0,fall,10/28/2020
A1A,3-South ,yellow,70,0,5,0,0,1,0,5,0,5,10,0,0,0,10,0,0,0,0,fall,10/28/2020
A1A,3-South ,purple,65,0,5,0,0,0,10,5,0,0,10,0,0,0,9,0,0,0,0,fall,10/28/2020
A1A,4-North,purple,60,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,fall,10/28/2020
A1A,4-North,red,55,0,5,0,5,5,10,0,0,0,10,0,0,0,30,0,0,0,0,fall,10/28/2020
A1A,4-North,pink,80,0,0,0,0,10,5,0,0,0,5,0,0,0,15,0,0,0,0,fall,10/28/2020
A1A,4-North,yellow,55,0,0,0,0,0,5,15,0,0,5,0,0,0,0,0,0,0,0,fall,10/28/2020
A1A,4-North,aqua,70,0,5,0,0,1,0,5,0,5,10,0,0,0,10,0,0,0,0,fall,10/28/2020
A1A,4-North,green,65,0,5,0,0,0,10,5,0,0,10,5,0,0,9,0,0,0,0,fall,10/28/2020
A1A,5-North,pink,70,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,fall,10/28/2020
A1A,5-North,aqua,60,0,15,0,0,0,10,0,0,0,0,5,0,0,10,0,0,0,0,fall,10/28/2020
A1A,5-North,purple,70,0,10,0,0,0,2,0,1,0,15,2,0,0,0,0,0,0,0,fall,10/28/2020
A1A,5-North,yellow,75,0,0,0,0,0,5,10,0,0,5,0,0,0,5,0,0,0,0,fall,10/28/2020
A1A,5-North,red,60,0,5,0,0,0,0,20,0,0,10,0,0,0,5,0,0,0,0,fall,10/28/2020
A1A,5-North,green,60,0,5,0,0,0,5,20,0,0,5,0,0,0,0,0,0,0,0,fall,10/28/2020
A1A,6-North,purple,15,0,15,0,5,0,50,0,0,0,5,10,0,0,0,0,0,0,0,fall,10/28/2020
A1A,6-North,aqua,70,0,0,0,0,5,15,0,0,0,10,0,0,0,0,0,0,0,0,fall,10/28/2020
A1A,6-North,yellow,79,0,0,0,0,0,15,0,0,1,5,0,0,0,0,0,0,0,0,fall,10/28/2020
A1A,6-North,red,95,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,fall,10/28/2020
A1A,6-North,pink,70,0,5,0,0,1,5,0,0,0,3,1,0,0,10,0,0,0,0,fall,10/28/2020
A1A,6-North,green,70,0,0,0,10,1,0,0,0,0,14,0,0,0,5,0,0,0,0,fall,10/28/2020
A1A,1-North,yellow,5,0,85,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,spring,2/17/2021
A1A,1-North,green,20,0,28,2,0,0,30,0,0,20,0,0,0,0,0,0,0,0,0,spring,2/17/2021
A1A,1-North,red,25,0,25,0,0,0,30,15,0,5,0,0,0,0,0,0,0,0,0,spring,2/17/2021
A1A,1-North,aqua,40,0,0,0,5,0,10,30,0,0,15,0,0,0,0,0,0,0,0,spring,2/17/2021
A1A,1-North,purple,40,0,25,0,0,0,5,0,0,10,0,20,0,0,0,0,0,0,0,spring,2/17/2021
A1A,1-North,pink,30,0,39,0,0,0,5,5,1,5,5,5,0,0,0,0,0,0,0,spring,2/17/2021
A1A,6-North,purple,5,0,10,1,0,0,30,0,0,0,5,10,0,0,39,0,0,0,0,spring,2/17/2021
A1A,6-North,red,0,0,39,5,0,0,20,30,5,0,0,1,0,0,0,0,0,0,0,spring,2/17/2021
A1A,6-North,green,5,0,89,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,spring,2/17/2021
A1A,6-North,pink,10,0,20,5,0,0,40,15,5,0,5,0,0,0,0,0,0,0,0,spring,2/17/2021
A1A,6-North,aqua,5,0,85,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,spring,2/17/2021
A1A,6-North,yellow,5,0,40,0,0,5,40,0,0,5,5,0,0,0,0,0,0,0,0,spring,2/17/2021
A1A,4-North,pink,25,0,75,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,spring,2/17/2021
A1A,4-North,yellow,10,5,10,0,0,0,50,15,5,0,5,0,0,0,0,0,0,0,0,spring,2/17/2021
A1A,4-North,red,10,0,40,0,0,0,30,5,5,5,5,0,0,0,0,0,0,0,0,spring,2/17/2021
A1A,4-North,purple,20,0,10,0,0,0,10,20,5,0,35,0,0,0,0,0,0,0,0,spring,2/17/2021
A1A,4-North,aqua,25,0,45,0,0,0,15,5,5,0,5,0,0,0,0,0,0,0,0,spring,2/17/2021
A1A,4-North,green,5,0,10,0,0,0,35,35,0,0,10,5,0,0,0,0,0,0,0,spring,2/17/2021
A1A,5-North,aqua,5,0,55,0,0,0,30,0,0,0,5,5,0,0,0,0,0,0,0,spring,2/17/2021
A1A,5-North,purple,10,0,40,0,0,0,40,0,0,0,5,5,0,0,0,0,0,0,0,spring,2/17/2021
A1A,5-North,red,5,0,20,0,0,0,0,70,0,0,5,0,0,0,0,0,0,0,0,spring,2/17/2021
A1A,5-North,pink,5,0,20,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,spring,2/17/2021
A1A,5-North,green,10,0,15,0,0,0,20,25,0,0,29,0,0,0,0,0,0,0,0,spring,2/17/2021
A1A,5-North,yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,spring,2/17/2021
A1A,1-South,pink,15,1,9,5,0,0,45,0,5,10,5,5,0,0,0,0,0,0,0,spring,2/17/2021
A1A,1-South,purple,10,0,60,5,0,0,10,10,0,0,5,0,0,0,0,0,0,0,0,spring,2/17/2021
A1A,1-South,red,20,0,30,0,0,0,40,0,0,5,0,5,0,0,0,0,0,0,0,spring,2/17/2021
A1A,1-South,yellow,5,0,25,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,spring,2/17/2021
A1A,1-South,green,25,0,45,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,spring,2/17/2021
A1A,1-South,aqua,20,0,45,5,0,0,15,0,0,5,5,5,0,0,0,0,0,0,0,spring,2/17/2021
A1A,3-South,red,20,0,45,0,0,0,15,5,0,0,5,5,0,0,5,0,0,0,0,spring,2/17/2021
A1A,3-South,green,10,0,35,0,0,0,20,20,0,5,5,5,0,0,0,0,0,0,0,spring,2/17/2021
A1A,3-South,aqua,5,0,35,0,0,0,40,5,5,5,5,0,0,0,0,0,0,0,0,spring,2/17/2021
A1A,3-South,pink,3,0,47,0,0,0,40,0,0,5,5,0,0,0,0,0,0,0,0,spring,2/17/2021
A1A,3-South,purple,20,0,55,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,spring,2/17/2021
A1A,3-South,yellow,25,0,30,0,0,0,40,0,0,5,0,0,0,0,0,0,0,0,0,spring,2/17/2021
A1A,2-South,yellow,3,0,20,0,5,0,0,0,2,5,55,0,0,0,10,0,0,0,0,summer,6/1/2021
A1A,2-South,pink,20,0,10,0,10,0,10,0,0,0,30,5,0,0,15,0,0,0,0,summer,6/1/2021
A1A,2-South,red,10,0,5,0,1,0,15,40,0,0,26,3,0,0,0,0,0,0,0,summer,6/1/2021
A1A,2-South,green,3,0,0,1,2,0,25,50,0,0,16,3,0,0,0,0,0,0,0,summer,6/1/2021
A1A,2-South,blue,10,0,5,0,5,2,15,10,1,0,44,3,0,0,5,0,0,0,0,summer,6/1/2021
A1A,2-South,purple,15,0,5,0,2,0,0,20,1,0,52,5,0,0,0,0,0,0,0,summer,6/1/2021
A1A,1-South,yellow,20,0,15,0,1,0,0,15,0,0,44,5,0,0,0,0,0,0,0,summer,6/1/2021
A1A,1-South,pink,30,0,0,1,1,0,10,20,0,0,33,5,0,0,0,0,0,0,0,summer,6/1/2021
A1A,1-South,green,10,0,0,0,10,1,0,20,0,0,54,5,0,0,0,0,0,0,0,summer,6/1/2021
A1A,1-South,purple,5,0,5,0,0,0,10,10,0,5,60,0,0,5,0,0,0,0,0,summer,6/1/2021
A1A,1-South,blue,5,0,5,0,1,0,25,10,0,0,51,3,0,0,0,0,0,0,0,summer,6/1/2021
A1A,3-South,red,10,0,7,0,1,0,15,40,0,0,14,3,0,0,10,0,0,0,0,summer,6/1/2021
A1A,3-South,purple,25,0,10,0,2,0,0,0,0,0,56,2,0,0,5,0,0,0,0,summer,6/1/2021
A1A,3-South,green,10,0,0,1,0,0,30,30,1,0,10,3,0,0,15,0,0,0,0,summer,6/1/2021
A1A,5-North,green,20,0,0,0,5,10,20,35,5,0,4,1,0,0,0,0,0,0,0,summer,6/1/2021
A1A,5-North,pink,0,0,10,2,2,0,60,10,2,0,9,5,0,0,0,0,0,0,0,summer,6/1/2021
A1A,5-North,aqua,10,0,0,0,0,0,0,25,5,5,30,5,0,0,20,0,0,0,0,summer,6/1/2021
A1A,5-North,red,5,0,0,0,5,40,0,20,5,5,20,0,0,0,0,0,0,0,0,summer,6/1/2021
A1A,4-North,purple,10,0,0,0,5,0,0,40,5,0,35,5,0,0,0,0,0,0,0,summer,6/1/2021
A1A,4-North,aqua,10,0,0,0,0,0,0,15,5,0,60,0,0,0,10,0,0,0,0,summer,6/1/2021
A1A,4-North,green,10,0,10,2,5,0,25,0,0,5,43,0,0,0,0,0,0,0,0,summer,6/1/2021
A1A,4-North,yellow,20,0,0,0,5,0,25,25,0,0,25,0,0,0,0,0,0,0,0,summer,6/1/2021
A1A,4-North,pink,10,0,0,5,0,0,0,10,0,0,60,5,0,0,10,0,0,0,0,summer,6/1/2021
A1A,4-North,red,5,0,0,0,0,0,10,0,0,0,85,0,0,0,0,0,0,0,0,summer,6/1/2021
A1A,6-North,aqua,10,0,40,0,10,0,0,0,0,5,35,0,0,0,0,0,0,0,0,summer,6/1/2021
A1A,6-North,green,30,0,10,1,0,0,0,20,0,5,29,0,0,0,5,0,0,0,0,summer,6/1/2021
A1A,6-North,pink,5,0,0,0,0,0,0,15,0,0,50,0,0,0,30,0,0,0,0,summer,6/1/2021
A1A,6-North,yellow,0,0,0,0,5,0,25,20,5,0,40,0,0,0,0,0,0,0,0,summer,6/1/2021
A1A,6-North,purple,0,0,10,0,0,0,20,5,0,5,30,10,0,0,20,0,0,0,5,summer,6/1/2021
A1A,6-North,red,20,0,20,0,5,0,20,0,5,0,30,0,0,0,0,0,0,0,0,summer,6/1/2021
