Dock,Mat,Shell,Barnacles,Arb. Bryo.,Enc. Bryo.,   Tubeworms,Hydroids,Tunicates,Oysters,Sponges,Anemones,Algae,Biofilm,Slippersnail,Feather Duster Worm,Amphipod Tubes,Bare Shell,Ribbed Mussel,Silt,Green Lipped Mussel,Whelk Eggs,Season,Date
Aquarina,1-South,gray,30,0,0,0,0,0,0,0,4,0,46,20,0,0,0,0,0,0,0,fall,10/9/2020
Aquarina,1-South,orange,10,0,0,1,0,0,0,0,5,0,82,2,0,0,0,0,0,0,0,fall,10/9/2020
Aquarina,1-South,pink,40,0,0,0,0,0,19,0,0,0,40,1,0,0,0,0,0,0,0,fall,10/9/2020
Aquarina,1-South,dark blue,80,0,0,1,0,1,0,0,0,0,18,0,0,0,0,0,0,0,0,fall,10/9/2020
Aquarina,1-South,aqua,20,0,5,5,0,0,20,0,5,0,45,0,0,0,0,0,0,0,0,fall,10/9/2020
Aquarina,1-South,green,15,0,0,0,0,0,0,0,0,0,70,15,0,0,0,0,0,0,0,fall,10/9/2020
Aquarina,2-South,pink,70,0,0,0,0,0,10,0,0,0,20,0,0,0,0,0,0,0,0,fall,10/9/2020
Aquarina,2-South,dark blue,40,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,fall,10/9/2020
Aquarina,2-South,green,70,0,0,0,0,0,5,0,0,0,25,0,0,0,0,0,0,0,0,fall,10/9/2020
Aquarina,2-South,orange,55,0,5,0,0,0,5,5,0,0,30,0,0,0,0,0,0,0,0,fall,10/9/2020
Aquarina,2-South,aqua,60,0,1,10,0,0,0,10,0,0,19,0,0,0,0,0,0,0,0,fall,10/9/2020
Aquarina,2-South,gray,20,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,fall,10/9/2020
Aquarina,3-South,aqua,50,0,10,0,0,5,0,0,1,0,34,0,0,0,0,0,0,0,0,fall,10/9/2020
Aquarina,3-South,gray,40,0,5,0,0,20,0,0,0,0,35,0,0,0,0,0,0,0,0,fall,10/9/2020
Aquarina,3-South,green,90,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,fall,10/9/2020
Aquarina,3-South,orange,10,0,0,0,0,40,10,0,2,0,38,0,0,0,0,0,0,0,0,fall,10/9/2020
Aquarina,3-South,pink,10,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,fall,10/9/2020
Aquarina,3-South,dark blue,40,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,fall,10/9/2020
Aquarina,1-North,pink,60,0,0,0,0,0,5,0,0,0,35,0,0,0,0,0,0,0,0,fall,10/9/2020
Aquarina,1-North,gray,20,0,20,0,0,0,0,0,0,0,50,10,0,0,0,0,0,0,0,fall,10/9/2020
Aquarina,1-North,orange,60,0,10,0,0,0,0,0,2,0,23,5,0,0,0,0,0,0,0,fall,10/9/2020
Aquarina,1-North,aqua,50,0,0,0,0,10,0,0,0,0,30,5,5,0,0,0,0,0,0,fall,10/9/2020
Aquarina,1-North,dark blue ,70,0,5,0,0,0,5,0,0,0,25,0,0,0,0,0,0,0,0,fall,10/9/2020
Aquarina,1-North,green,60,0,10,0,0,5,5,0,0,0,20,0,0,0,0,0,0,0,0,fall,10/9/2020
Aquarina,2-North,dark blue,60,0,15,5,0,0,5,0,0,0,15,0,0,0,0,0,0,0,0,fall,10/9/2020
Aquarina,2-North,orange,30,0,10,0,0,0,30,0,0,0,20,10,0,0,0,0,0,0,0,fall,10/9/2020
Aquarina,2-North,green,5,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,fall,10/9/2020
Aquarina,2-North,blue,25,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,fall,10/9/2020
