Timestamp (UTC-05:00),Value (Milligram per litre),Grade Code,Approval Level,Interpolation Type,Event Timestamp
4/26/2017 14:00,7.03,51,900,1,
4/26/2017 15:00,7.45,51,900,1,
4/26/2017 16:00,7.32,51,900,1,
4/26/2017 17:00,7.75,51,900,1,
4/26/2017 18:00,7.74,51,900,1,
4/26/2017 19:00,7.58,51,900,1,
4/26/2017 20:00,7.38,51,900,1,
4/26/2017 21:00,7.18,51,900,1,
4/26/2017 22:00,6.95,51,900,1,
4/26/2017 23:00,6.94,51,900,1,
4/27/2017 0:00,6.33,51,900,1,
4/27/2017 1:00,6.29,51,900,1,
4/27/2017 2:00,6.26,51,900,1,
4/27/2017 3:00,6.24,51,900,1,
4/27/2017 4:00,6.11,51,900,1,
4/27/2017 5:00,6,51,900,1,
4/27/2017 6:00,5.83,51,900,1,
4/27/2017 7:00,5.69,51,900,1,
4/27/2017 8:00,5.8,51,900,1,
4/27/2017 9:00,6.04,51,900,1,
4/27/2017 10:00,6.16,51,900,1,
4/27/2017 11:00,6.49,51,900,1,
4/27/2017 12:00,7.05,51,900,1,
4/27/2017 13:00,7.15,51,900,1,
4/27/2017 14:00,7.34,51,900,1,
4/27/2017 15:00,7.57,51,900,1,
4/27/2017 16:00,7.66,51,900,1,
4/27/2017 17:00,7.63,51,900,1,
4/27/2017 18:00,7.52,51,900,1,
4/27/2017 19:00,7.29,51,900,1,
4/27/2017 20:00,7.15,51,900,1,
4/27/2017 21:00,6.83,51,900,1,
4/27/2017 22:00,6.81,51,900,1,
4/27/2017 23:00,6.31,51,900,1,
4/28/2017 0:00,6.56,51,900,1,
4/28/2017 1:00,6.28,51,900,1,
4/28/2017 2:00,6.22,51,900,1,
4/28/2017 3:00,6.06,51,900,1,
4/28/2017 4:00,6.06,51,900,1,
4/28/2017 5:00,5.92,51,900,1,
4/28/2017 6:00,5.85,51,900,1,
4/28/2017 7:00,5.46,51,900,1,
4/28/2017 8:00,5.75,51,900,1,
4/28/2017 9:00,5.81,51,900,1,
4/28/2017 10:00,6.03,51,900,1,
4/28/2017 11:00,6.28,51,900,1,
4/28/2017 12:00,6.6,51,900,1,
4/28/2017 13:00,7.17,51,900,1,
4/28/2017 14:00,7.51,51,900,1,
4/28/2017 15:00,7.53,51,900,1,
4/28/2017 16:00,7.71,51,900,1,
4/28/2017 17:00,7.74,51,900,1,
4/28/2017 18:00,7.63,51,900,1,
4/28/2017 19:00,7.35,51,900,1,
4/28/2017 20:00,6.85,51,900,1,
4/28/2017 21:00,6.67,51,900,1,
4/28/2017 22:00,6.74,51,900,1,
4/28/2017 23:00,6.5,51,900,1,
4/29/2017 0:00,6.48,51,900,1,
4/29/2017 1:00,6.6,51,900,1,
4/29/2017 2:00,6.3,51,900,1,
4/29/2017 3:00,6.22,51,900,1,
4/29/2017 4:00,6.04,51,900,1,
4/29/2017 5:00,6.03,51,900,1,
4/29/2017 6:00,5.79,51,900,1,
4/29/2017 7:00,5.74,51,900,1,
4/29/2017 8:00,5.65,51,900,1,
4/29/2017 9:00,6.11,51,900,1,
4/29/2017 10:00,6.37,51,900,1,
4/29/2017 11:00,6.39,51,900,1,
4/29/2017 12:00,6.85,51,900,1,
4/29/2017 13:00,7.15,51,900,1,
4/29/2017 14:00,7.43,51,900,1,
4/29/2017 15:00,7.75,51,900,1,
4/29/2017 16:00,7.85,51,900,1,
4/29/2017 17:00,7.6,51,900,1,
4/29/2017 18:00,7.56,51,900,1,
4/29/2017 19:00,7.37,51,900,1,
4/29/2017 20:00,7.56,51,900,1,
4/29/2017 21:00,7.47,51,900,1,
4/29/2017 22:00,7.4,51,900,1,
4/29/2017 23:00,7.2,51,900,1,
4/30/2017 0:00,7.05,51,900,1,
4/30/2017 1:00,6.73,51,900,1,
4/30/2017 2:00,6.35,51,900,1,
4/30/2017 3:00,6.2,51,900,1,
4/30/2017 4:00,6.04,51,900,1,
4/30/2017 5:00,5.92,51,900,1,
4/30/2017 6:00,5.55,51,900,1,
4/30/2017 7:00,5.4,51,900,1,
4/30/2017 8:00,5.54,51,900,1,
4/30/2017 9:00,5.77,51,900,1,
4/30/2017 10:00,6.1,51,900,1,
4/30/2017 11:00,6.33,51,900,1,
4/30/2017 12:00,6.53,51,900,1,
4/30/2017 13:00,6.78,51,900,1,
4/30/2017 14:00,7.12,51,900,1,
4/30/2017 15:00,7.44,51,900,1,
4/30/2017 16:00,7.57,51,900,1,
4/30/2017 17:00,7.53,51,900,1,
4/30/2017 18:00,7.43,51,900,1,
4/30/2017 19:00,7.2,51,900,1,
4/30/2017 20:00,6.73,51,900,1,
4/30/2017 21:00,6.49,51,900,1,
4/30/2017 22:00,6.51,51,900,1,
4/30/2017 23:00,6.11,51,900,1,
5/1/2017 0:00,6.09,51,900,1,
5/1/2017 1:00,5.86,51,900,1,
5/1/2017 2:00,5.66,51,900,1,
5/1/2017 3:00,5.36,51,900,1,
5/1/2017 4:00,5.67,51,900,1,
5/1/2017 5:00,5.6,51,900,1,
5/1/2017 6:00,5.64,51,900,1,
5/1/2017 7:00,5.15,51,900,1,
5/1/2017 8:00,5.08,51,900,1,
5/1/2017 9:00,5.89,51,900,1,
5/1/2017 10:00,6.24,51,900,1,
5/1/2017 11:00,6.61,51,900,1,
5/1/2017 12:00,6.57,51,900,1,
5/1/2017 13:00,6.77,51,900,1,
5/1/2017 14:00,7.14,51,900,1,
5/1/2017 15:00,7.32,51,900,1,
5/1/2017 16:00,7.73,51,900,1,
5/1/2017 17:00,7.5,51,900,1,
5/1/2017 18:00,7.15,51,900,1,
5/1/2017 19:00,7.17,51,900,1,
5/1/2017 20:00,7.2,51,900,1,
