Timestamp (UTC-05:00),Value (Formazin Nephelometric Units),Grade Code,Approval Level,Interpolation Type,Event Timestamp
1/1/2021 0:00,3.27,0,800,1,
1/1/2021 1:00,3.36,0,800,1,
1/1/2021 2:00,3.43,0,800,1,
1/1/2021 3:00,3.12,0,800,1,
1/1/2021 4:00,3.33,0,800,1,
1/1/2021 5:00,3.33,0,800,1,
1/1/2021 6:00,3.45,0,800,1,
1/1/2021 7:00,3.51,0,800,1,
1/1/2021 8:00,3.81,0,800,1,
1/1/2021 9:00,3.8,0,800,1,
1/1/2021 10:00,3.74,0,800,1,
1/1/2021 11:00,3.47,0,800,1,
1/1/2021 12:00,2.9,0,800,1,
1/1/2021 13:00,3.26,0,800,1,
1/1/2021 14:00,3.49,0,800,1,
1/1/2021 15:00,3.44,0,800,1,
1/1/2021 16:00,3.71,0,800,1,
1/1/2021 17:00,3.98,0,800,1,
1/1/2021 18:00,3.61,0,800,1,
1/1/2021 19:00,3.42,0,800,1,
1/1/2021 20:00,3.2,0,800,1,
1/1/2021 21:00,3.37,0,800,1,
1/1/2021 22:00,3.02,0,800,1,
1/1/2021 23:00,3,0,800,1,
1/2/2021 0:00,2.86,0,800,1,
1/2/2021 1:00,3.08,0,800,1,
1/2/2021 2:00,2.77,0,800,1,
1/2/2021 3:00,3.23,0,800,1,
1/2/2021 4:00,3.95,0,800,1,
1/2/2021 5:00,4.46,0,800,1,
1/2/2021 6:00,3.57,0,800,1,
1/2/2021 7:00,3.95,0,800,1,
1/2/2021 8:00,3.09,0,800,1,
1/2/2021 9:00,3.27,0,800,1,
1/2/2021 10:00,3,0,800,1,
1/2/2021 11:00,3.15,0,800,1,
1/2/2021 12:00,3.38,0,800,1,
1/2/2021 13:00,3.43,0,800,1,
1/2/2021 14:00,3.33,0,800,1,
1/2/2021 15:00,3.51,0,800,1,
1/2/2021 16:00,3.83,0,800,1,
1/2/2021 17:00,3.51,0,800,1,
1/2/2021 18:00,3.74,0,800,1,
1/2/2021 19:00,3.65,0,800,1,
1/2/2021 20:00,3.27,0,800,1,
1/2/2021 21:00,4.04,0,800,1,
1/2/2021 22:00,3.64,0,800,1,
1/2/2021 23:00,3.65,0,800,1,
1/3/2021 0:00,3.28,0,800,1,
1/3/2021 1:00,3.22,0,800,1,
1/3/2021 2:00,3.48,0,800,1,
1/3/2021 3:00,3.48,0,800,1,
1/3/2021 4:00,3.34,0,800,1,
1/3/2021 5:00,4.06,0,800,1,
1/3/2021 6:00,5.72,0,800,1,
1/3/2021 7:00,5.26,0,800,1,
1/3/2021 8:00,9.96,0,800,1,
1/3/2021 9:00,4.81,0,800,1,
1/3/2021 10:00,5.69,0,800,1,
1/3/2021 11:00,6.27,0,800,1,
1/3/2021 12:00,5.67,0,800,1,
1/3/2021 13:00,4.81,0,800,1,
1/3/2021 14:00,7.7,0,800,1,
1/3/2021 15:00,9.15,0,800,1,
1/3/2021 16:00,7.66,0,800,1,
1/3/2021 17:00,4.97,0,800,1,
1/3/2021 18:00,4.92,0,800,1,
1/3/2021 19:00,4.88,0,800,1,
1/3/2021 20:00,4.77,0,800,1,
1/3/2021 21:00,3.86,0,800,1,
1/3/2021 22:00,4.52,0,800,1,
1/3/2021 23:00,4.09,0,800,1,
1/4/2021 0:00,3.56,0,800,1,
1/4/2021 1:00,3.89,0,800,1,
1/4/2021 2:00,4.67,0,800,1,
1/4/2021 3:00,4.28,0,800,1,
1/4/2021 4:00,4.66,0,800,1,
1/4/2021 5:00,5.72,0,800,1,
1/4/2021 6:00,4.91,0,800,1,
1/4/2021 7:00,4.74,0,800,1,
1/4/2021 8:00,4.07,0,800,1,
1/4/2021 9:00,3.92,0,800,1,
1/4/2021 10:00,5.33,0,800,1,
1/4/2021 11:00,4.72,0,800,1,
1/4/2021 12:00,4.13,0,800,1,
1/4/2021 13:00,3.71,0,800,1,
1/4/2021 14:00,4.45,0,800,1,
1/4/2021 15:00,4.34,0,800,1,
1/4/2021 16:00,4.49,0,800,1,
1/4/2021 17:00,4.69,0,800,1,
1/4/2021 18:00,4.21,0,800,1,
1/4/2021 19:00,4.25,0,800,1,
1/4/2021 20:00,3.22,0,800,1,
1/4/2021 21:00,3.77,0,800,1,
1/4/2021 22:00,3.49,0,800,1,
1/4/2021 23:00,3.49,0,800,1,
