Timestamp (UTC-05:00),Value (Formazin Nephelometric Units),Grade Code,Approval Level,Interpolation Type,Event Timestamp
4/26/2017 12:00,3.04,51,900,1,
4/26/2017 13:00,2.66,51,900,1,
4/26/2017 14:00,3.24,51,900,1,
4/26/2017 15:00,2.55,51,900,1,
4/26/2017 16:00,2.31,51,900,1,
4/26/2017 17:00,2.28,51,900,1,
4/26/2017 18:00,2.73,51,900,1,
4/26/2017 19:00,2.47,51,900,1,
4/26/2017 20:00,3.06,51,900,1,
4/26/2017 21:00,4.51,51,900,1,
4/26/2017 22:00,3.11,51,900,1,
4/26/2017 23:00,2.61,51,900,1,
4/27/2017 0:00,2.74,51,900,1,
4/27/2017 1:00,3.18,51,900,1,
4/27/2017 2:00,2.84,51,900,1,
4/27/2017 3:00,2.55,51,900,1,
4/27/2017 4:00,2.68,51,900,1,
4/27/2017 5:00,2.57,51,900,1,
4/27/2017 6:00,2.31,51,900,1,
4/27/2017 7:00,2.36,51,900,1,
4/27/2017 8:00,2.52,51,900,1,
4/27/2017 9:00,2.33,51,900,1,
4/27/2017 10:00,3.22,51,900,1,
4/27/2017 11:00,3.56,51,900,1,
4/27/2017 12:00,4.13,51,900,1,
4/27/2017 13:00,3.24,51,900,1,
4/27/2017 14:00,2.49,51,900,1,
4/27/2017 15:00,3.12,51,900,1,
4/27/2017 16:00,3.08,51,900,1,
4/27/2017 17:00,3.43,51,900,1,
4/27/2017 18:00,3.53,51,900,1,
4/27/2017 19:00,3.75,51,900,1,
4/27/2017 20:00,3.32,51,900,1,
4/27/2017 21:00,3.29,51,900,1,
4/27/2017 22:00,3.67,51,900,1,
4/27/2017 23:00,2.36,51,900,1,
4/28/2017 0:00,2.79,51,900,1,
4/28/2017 1:00,2.65,51,900,1,
4/28/2017 2:00,2.52,51,900,1,
4/28/2017 3:00,3.51,51,900,1,
4/28/2017 4:00,2.32,51,900,1,
4/28/2017 5:00,2.41,51,900,1,
4/28/2017 6:00,2.4,51,900,1,
4/28/2017 7:00,3.07,51,900,1,
4/28/2017 8:00,2.55,51,900,1,
4/28/2017 9:00,3.02,51,900,1,
4/28/2017 10:00,3.21,51,900,1,
4/28/2017 11:00,2.76,51,900,1,
4/28/2017 12:00,2.21,51,900,1,
4/28/2017 13:00,2.55,51,900,1,
4/28/2017 14:00,2.88,51,900,1,
4/28/2017 15:00,2.6,51,900,1,
4/28/2017 16:00,2.29,51,900,1,
4/28/2017 17:00,2.49,51,900,1,
4/28/2017 18:00,2.2,51,900,1,
4/28/2017 19:00,2.69,51,900,1,
4/28/2017 20:00,2.52,51,900,1,
4/28/2017 21:00,2.65,51,900,1,
4/28/2017 22:00,2.57,51,900,1,
4/28/2017 23:00,2.54,51,900,1,
4/29/2017 0:00,2.32,51,900,1,
4/29/2017 1:00,2.62,51,900,1,
4/29/2017 2:00,2.37,51,900,1,
4/29/2017 3:00,1.76,51,900,1,
4/29/2017 4:00,2.15,51,900,1,
4/29/2017 5:00,2.15,51,900,1,
4/29/2017 6:00,6.05,51,900,1,
4/29/2017 7:00,1.82,51,900,1,
4/29/2017 8:00,2.45,51,900,1,
4/29/2017 9:00,2.95,51,900,1,
4/29/2017 10:00,3.8,51,900,1,
4/29/2017 11:00,3.62,51,900,1,
4/29/2017 12:00,4,51,900,1,
4/29/2017 13:00,3.61,51,900,1,
