Mat,Dock,Season,Percent Cover,Date,,,,,
N1,A1A,Fall,65.06,10/28/2020,,,,,
N2,A1A,Fall,79.6,10/28/2020,,,,,
N3,A1A,Fall,71.96,10/28/2020,,,,,
S1,A1A,Fall,63.27,10/28/2020,,,,,
S2,A1A,Fall,70.6,10/28/2020,,,,,
S3,A1A,Fall,72.42,10/28/2020,,,,,
N1,A1A,Spring,94.91,2/17/2021,,,,,
N2,A1A,Spring,97.84,2/17/2021,,,,,
N3,A1A,Spring,96.24,2/17/2021,,,,,
S1,A1A,Spring,97.3,2/17/2021,,,,,
S2,A1A,Spring,100,2/17/2021,,,,,
S3,A1A,Spring,92.78,2/17/2021,,,,,
N1,Aquarina,Fall,38.13,10/9/2020,,,,,
N2,Aquarina,Fall,40.12,10/9/2020,,,,,
N3,Aquarina,Fall,45.72,10/9/2020,,,,,
S1,Aquarina,Fall,64.23,10/9/2020,,,,,
S2,Aquarina,Fall,27.65,10/9/2020,,,,,
S3,Aquarina,Fall,46.59,10/9/2020,,,,,
N1,Aquarina,Spring,77.19,2/10/2021,,,,,
N2,Aquarina,Spring,48.59,2/10/2021,,,,,
N3,Aquarina,Spring,54.02,2/10/2021,,,,,
S1,Aquarina,Spring,74.76,2/10/2021,,,,,
S2,Aquarina,Spring,55.36,2/10/2021,,,,,
S3,Aquarina,Spring,63.77,2/10/2021,,,,,
N1,Beach Woods,Fall,43.85,10/30/2020,,,,,
N2,Beach Woods,Fall,77.65,10/30/2020,,,,,
N3,Beach Woods,Fall,84.42,10/30/2020,,,,,
S1,Beach Woods,Fall,40.01,10/30/2020,,,,,
S2,Beach Woods,Fall,78.24,10/30/2020,,,,,
S3,Beach Woods,Fall,81.59,10/30/2020,,,,,
N5,Beach Woods,Fall,74.02,10/30/2020,,,,,
S5,Beach Woods,Fall,80.7,10/30/2020,,,,,
N1,Beach Woods,Spring,62.22,2/20/2021,,,,,
N2,Beach Woods,Spring,98.15,2/20/2021,,,,,
N3,Beach Woods,Spring,97.64,2/20/2021,,,,,
S1,Beach Woods,Spring,73.96,2/20/2021,,,,,
S2,Beach Woods,Spring,99.34,2/20/2021,,,,,
S3,Beach Woods,Spring,96.35,2/20/2021,,,,,
N5,Beach Woods,Spring,98.69,2/20/2021,,,,,
S5,Beach Woods,Spring,98.09,2/20/2021,,,,,
N2,IAP,Fall,50.86,10/2/2020,,,,,
N3,IAP,Fall,55.47,10/2/2020,,,,,
S1,IAP,Fall,42.4,10/2/2020,,,,,
S5,IAP,Fall,62.75,10/2/2020,,,,,
N4,IAP,Fall,70.74,10/2/2020,,,,,
S6,IAP,Fall,61.2,10/2/2020,,,,,
