"","Dock","Mat","Shell","Barnacles","Arb..Bryo.","Enc..Bryo.","Tubeworms","Hydroids","Tunicates","Oysters","Sponges","Anemones","Algae","Biofilm","Slippersnail","Feather.Duster.Worm","Amphipod.Tubes","Bare.Shell","Ribbed.Mussel","Silt","Green.Lipped.Mussel","Whelk.Eggs","Season","Date","pH-mean-days","salinity-mean-days","temp-mean-days","turbidity-mean-days"
"1","Sebastian","1-South","aqua",10,0,0,5,0,0,20,0,0,0,64,0,0,0,0,1,0,0,0,"fall","10/10/2020",6.52629349470499,7.09246596066566,28.3681694402421,19.9813374583964
"2","Sebastian","1-South","gray",5,0,0,0,0,0,25,10,0,0,60,0,0,0,0,0,0,0,0,"fall","10/10/2020",6.52629349470499,7.09246596066566,28.3681694402421,19.9813374583964
"3","Sebastian","1-South","black",1,0,0,0,5,0,5,40,0,0,49,0,0,0,0,0,0,0,0,"fall","10/10/2020",6.52629349470499,7.09246596066566,28.3681694402421,19.9813374583964
"4","Sebastian","1-South","orange",0,0,0,0,50,0,40,0,0,0,10,0,0,0,0,0,0,0,0,"fall","10/10/2020",6.52629349470499,7.09246596066566,28.3681694402421,19.9813374583964
"5","Sebastian","1-South","green",60,0,0,0,0,0,5,15,0,0,20,0,0,0,0,0,0,0,0,"fall","10/10/2020",6.52629349470499,7.09246596066566,28.3681694402421,19.9813374583964
"6","Sebastian","1-South","pink",50,0,0,0,5,0,15,15,0,0,15,0,0,0,0,0,0,0,0,"fall","10/10/2020",6.52629349470499,7.09246596066566,28.3681694402421,19.9813374583964
"7","Sebastian","2-South","aqua",75,0,0,0,10,1,5,0,0,0,9,0,0,0,0,0,0,0,0,"fall","10/10/2020",6.52629349470499,7.09246596066566,28.3681694402421,19.9813374583964
"8","Sebastian","2-South","grey",15,0,0,0,10,0,40,0,0,0,35,0,0,0,0,0,0,0,0,"fall","10/10/2020",6.52629349470499,7.09246596066566,28.3681694402421,19.9813374583964
"9","Sebastian","2-South","pink",47,0,5,1,8,0,0,0,0,0,39,0,0,0,0,0,0,0,0,"fall","10/10/2020",6.52629349470499,7.09246596066566,28.3681694402421,19.9813374583964
"10","Sebastian","2-South","dark blue",47,0,2,0,4,5,2,10,0,0,30,0,0,0,0,0,0,0,0,"fall","10/10/2020",6.52629349470499,7.09246596066566,28.3681694402421,19.9813374583964
"11","Sebastian","2-South","green",49,0,0,0,6,5,40,0,0,0,0,0,0,0,0,0,0,0,0,"fall","10/10/2020",6.52629349470499,7.09246596066566,28.3681694402421,19.9813374583964
"12","Sebastian","2-South","orange",15,5,0,0,5,0,60,0,0,0,15,0,0,0,0,0,0,0,0,"fall","10/10/2020",6.52629349470499,7.09246596066566,28.3681694402421,19.9813374583964
"13","Sebastian","3-South","aqua",50,0,0,0,1,0,20,2,0,0,27,0,0,0,0,0,0,0,0,"fall","10/10/2020",6.52629349470499,7.09246596066566,28.3681694402421,19.9813374583964
"14","Sebastian","3-South","green",25,0,0,0,15,0,25,10,0,0,25,0,0,0,0,0,0,0,0,"fall","10/10/2020",6.52629349470499,7.09246596066566,28.3681694402421,19.9813374583964
"15","Sebastian","3-South","grey",45,0,0,0,8,0,40,0,0,0,7,0,0,0,0,0,0,0,0,"fall","10/10/2020",6.52629349470499,7.09246596066566,28.3681694402421,19.9813374583964
"16","Sebastian","3-South","orange",3,0,0,0,1,0,50,1,0,0,44,0,0,0,0,1,0,0,0,"fall","10/10/2020",6.52629349470499,7.09246596066566,28.3681694402421,19.9813374583964
"17","Sebastian","3-South","dark blue",10,0,0,0,10,0,25,0,0,5,50,0,0,0,0,0,0,0,0,"fall","10/10/2020",6.52629349470499,7.09246596066566,28.3681694402421,19.9813374583964
"18","Sebastian","3-South","pink",10,0,0,0,0,0,80,5,0,0,5,0,0,0,0,0,0,0,0,"fall","10/10/2020",6.52629349470499,7.09246596066566,28.3681694402421,19.9813374583964
"19","Sebastian","4-North","green",10,0,0,0,0,10,20,20,0,0,40,0,0,0,0,0,0,0,0,"fall","10/10/2020",6.52629349470499,7.09246596066566,28.3681694402421,19.9813374583964
"20","Sebastian","4-North","gray",30,0,0,0,0,0,15,40,10,0,5,0,0,0,0,0,0,0,0,"fall","10/10/2020",6.52629349470499,7.09246596066566,28.3681694402421,19.9813374583964
"21","Sebastian","4-North","dark blue",15,0,0,0,10,0,0,15,0,0,60,0,0,0,0,0,0,0,0,"fall","10/10/2020",6.52629349470499,7.09246596066566,28.3681694402421,19.9813374583964
"22","Sebastian","4-North","orange",10,0,0,0,0,10,70,0,0,0,10,0,0,0,0,0,0,0,0,"fall","10/10/2020",6.52629349470499,7.09246596066566,28.3681694402421,19.9813374583964
"23","Sebastian","4-North","pink",50,0,0,0,10,0,0,0,0,0,40,0,0,0,0,0,0,0,0,"fall","10/10/2020",6.52629349470499,7.09246596066566,28.3681694402421,19.9813374583964
"24","Sebastian","4-North","aqua",15,0,0,0,0,10,40,20,0,0,15,0,0,0,0,0,0,0,0,"fall","10/10/2020",6.52629349470499,7.09246596066566,28.3681694402421,19.9813374583964
"25","Sebastian","1-South","green",5,1,5,0,5,2,10,40,0,0,32,0,0,0,0,0,0,0,0,"spring","2/6/2021",8.98602777777778,3.23938888888889,17.36925,17.4425312361111
"26","Sebastian","1-South","aqua",10,0,25,1,5,0,30,0,0,5,24,0,0,0,0,0,0,0,0,"spring","2/6/2021",8.98602777777778,3.23938888888889,17.36925,17.4425312361111
"27","Sebastian","1-South","dark blue",5,35,30,0,5,0,0,10,0,3,12,0,0,0,0,0,0,0,0,"spring","2/6/2021",8.98602777777778,3.23938888888889,17.36925,17.4425312361111
"28","Sebastian","1-South","pink",20,30,15,0,10,0,0,20,0,0,5,0,0,0,0,0,0,0,0,"spring","2/6/2021",8.98602777777778,3.23938888888889,17.36925,17.4425312361111
"29","Sebastian","1-South","gray",0,0,60,0,5,0,5,0,0,0,30,0,0,0,0,0,0,0,0,"spring","2/6/2021",8.98602777777778,3.23938888888889,17.36925,17.4425312361111
"30","Sebastian","2-South","1 orange",0,5,0,0,5,0,59,25,0,0,5,0,0,0,0,1,0,0,0,"spring","2/6/2021",8.98602777777778,3.23938888888889,17.36925,17.4425312361111
"31","Sebastian","2-South","2 green",20,10,0,0,0,0,25,20,0,5,20,0,0,0,0,0,0,0,0,"spring","2/6/2021",8.98602777777778,3.23938888888889,17.36925,17.4425312361111
"32","Sebastian","2-South","3 gray",40,3,10,0,5,0,20,15,0,5,2,0,0,0,0,0,0,0,0,"spring","2/6/2021",8.98602777777778,3.23938888888889,17.36925,17.4425312361111
"33","Sebastian","2-South","4 pink",0,0,5,0,5,0,80,0,0,5,5,0,0,0,0,0,0,0,0,"spring","2/6/2021",8.98602777777778,3.23938888888889,17.36925,17.4425312361111
"34","Sebastian","2-South","5 aqua",15,10,0,0,0,0,20,10,0,0,20,0,0,0,0,0,0,0,0,"spring","2/6/2021",8.98602777777778,3.23938888888889,17.36925,17.4425312361111
"35","Sebastian","3-South","1 orange",2,2,30,0,5,0,10,20,0,0,31,0,0,0,0,0,0,0,0,"spring","2/6/2021",8.98602777777778,3.23938888888889,17.36925,17.4425312361111
"36","Sebastian","3-South","2 pink",30,0,15,0,5,0,15,20,0,0,15,0,0,0,0,0,0,0,0,"spring","2/6/2021",8.98602777777778,3.23938888888889,17.36925,17.4425312361111
"37","Sebastian","3-South","3 green",2,50,20,0,2,0,0,20,0,0,6,0,0,0,0,0,0,0,0,"spring","2/6/2021",8.98602777777778,3.23938888888889,17.36925,17.4425312361111
"38","Sebastian","3-South","4 aqua",20,0,20,0,0,0,10,30,0,5,15,0,0,0,0,0,0,0,0,"spring","2/6/2021",8.98602777777778,3.23938888888889,17.36925,17.4425312361111
"39","Sebastian","4-North","1 orange",5,0,5,2,5,0,83,0,0,0,10,0,0,0,0,0,0,0,0,"spring","2/6/2021",8.98602777777778,3.23938888888889,17.36925,17.4425312361111
"40","Sebastian","4-North","2 green",2,25,5,0,5,0,0,20,3,0,39,0,0,0,0,1,0,0,0,"spring","2/6/2021",8.98602777777778,3.23938888888889,17.36925,17.4425312361111
"41","Sebastian","4-North","4 pink",10,0,10,0,5,0,60,0,0,5,10,0,0,0,0,0,0,0,0,"spring","2/6/2021",8.98602777777778,3.23938888888889,17.36925,17.4425312361111
"42","Sebastian","4-North","5 aqua",10,10,0,0,0,0,50,20,0,0,10,0,0,0,0,0,0,0,0,"spring","2/6/2021",8.98602777777778,3.23938888888889,17.36925,17.4425312361111
"43","Sebastian","4-North","6 dark blue",5,15,5,0,0,0,20,10,0,0,45,0,0,0,0,0,0,0,0,"spring","2/6/2021",8.98602777777778,3.23938888888889,17.36925,17.4425312361111
"44","A1A","1-South","pink",50,0,0,0,0,0,15,0,0,0,34,1,0,0,0,0,0,0,0,"fall","10/28/2020",5.59528443113772,14.1655239520958,27.5809880239521,18.4549560628743
"45","A1A","1-South","purple",85,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,"fall","10/28/2020",5.59528443113772,14.1655239520958,27.5809880239521,18.4549560628743
"46","A1A","1-South","red",60,0,5,0,0,5,0,0,0,0,29,1,0,0,0,0,0,0,0,"fall","10/28/2020",5.59528443113772,14.1655239520958,27.5809880239521,18.4549560628743
"47","A1A","1-South","yellow",60,0,5,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,"fall","10/28/2020",5.59528443113772,14.1655239520958,27.5809880239521,18.4549560628743
"48","A1A","1-South","aqua",60,0,0,0,0,0,15,0,0,15,8,2,0,0,0,0,0,0,0,"fall","10/28/2020",5.59528443113772,14.1655239520958,27.5809880239521,18.4549560628743
"49","A1A","1-South","green",70,0,0,0,0,5,0,0,0,10,15,0,0,0,0,0,0,0,0,"fall","10/28/2020",5.59528443113772,14.1655239520958,27.5809880239521,18.4549560628743
"50","A1A","2-South","red",60,0,0,0,0,5,20,0,0,10,5,0,0,0,0,0,0,0,0,"fall","10/28/2020",5.59528443113772,14.1655239520958,27.5809880239521,18.4549560628743
"51","A1A","2-South","green",80,0,0,0,0,0,0,0,0,0,15,0,0,0,5,0,0,0,0,"fall","10/28/2020",5.59528443113772,14.1655239520958,27.5809880239521,18.4549560628743
"52","A1A","2-South","yellow",70,0,10,0,10,0,0,0,0,0,5,0,0,0,5,0,0,0,0,"fall","10/28/2020",5.59528443113772,14.1655239520958,27.5809880239521,18.4549560628743
"53","A1A","2-South","pink",85,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,"fall","10/28/2020",5.59528443113772,14.1655239520958,27.5809880239521,18.4549560628743
"54","A1A","2-South","purple",65,0,0,0,0,0,5,0,0,0,15,5,0,0,10,0,0,0,0,"fall","10/28/2020",5.59528443113772,14.1655239520958,27.5809880239521,18.4549560628743
"55","A1A","2-South","aqua",70,0,0,0,5,0,0,15,0,2,8,0,0,0,0,0,0,0,0,"fall","10/28/2020",5.59528443113772,14.1655239520958,27.5809880239521,18.4549560628743
