"","Dock","Mat","Shell","Barnacles","Arb..Bryo.","Enc..Bryo.","Tubeworms","Hydroids","Tunicates","Oysters","Sponges","Anemones","Algae","Biofilm","Slippersnail","Feather.Duster.Worm","Amphipod.Tubes","Bare.Shell","Ribbed.Mussel","Silt","Green.Lipped.Mussel","Whelk.Eggs","Season","Date","pH-mean-days","salinity-mean-days","temp-mean-days","turbidity-mean-days"
"1","Sebastian","1-South","aqua",10,0,0,5,0,0,20,0,0,0,64,0,0,0,0,1,0,0,0,"fall","10/10/2020",6.52629349470499,7.09246596066566,28.3681694402421,19.9813374802874
"2","Sebastian","1-South","gray",5,0,0,0,0,0,25,10,0,0,60,0,0,0,0,0,0,0,0,"fall","10/10/2020",6.52629349470499,7.09246596066566,28.3681694402421,19.9813374802874
"3","Sebastian","1-South","black",1,0,0,0,5,0,5,40,0,0,49,0,0,0,0,0,0,0,0,"fall","10/10/2020",6.52629349470499,7.09246596066566,28.3681694402421,19.9813374802874
"4","Sebastian","1-South","orange",0,0,0,0,50,0,40,0,0,0,10,0,0,0,0,0,0,0,0,"fall","10/10/2020",6.52629349470499,7.09246596066566,28.3681694402421,19.9813374802874
"5","Sebastian","1-South","green",60,0,0,0,0,0,5,15,0,0,20,0,0,0,0,0,0,0,0,"fall","10/10/2020",6.52629349470499,7.09246596066566,28.3681694402421,19.9813374802874
"6","Sebastian","1-South","pink",50,0,0,0,5,0,15,15,0,0,15,0,0,0,0,0,0,0,0,"fall","10/10/2020",6.52629349470499,7.09246596066566,28.3681694402421,19.9813374802874
"7","Sebastian","2-South","aqua",75,0,0,0,10,1,5,0,0,0,9,0,0,0,0,0,0,0,0,"fall","10/10/2020",6.52629349470499,7.09246596066566,28.3681694402421,19.9813374802874
"8","Sebastian","2-South","grey",15,0,0,0,10,0,40,0,0,0,35,0,0,0,0,0,0,0,0,"fall","10/10/2020",6.52629349470499,7.09246596066566,28.3681694402421,19.9813374802874
"9","Sebastian","2-South","pink",47,0,5,1,8,0,0,0,0,0,39,0,0,0,0,0,0,0,0,"fall","10/10/2020",6.52629349470499,7.09246596066566,28.3681694402421,19.9813374802874
"10","Sebastian","2-South","dark blue",47,0,2,0,4,5,2,10,0,0,30,0,0,0,0,0,0,0,0,"fall","10/10/2020",6.52629349470499,7.09246596066566,28.3681694402421,19.9813374802874
"11","Sebastian","2-South","green",49,0,0,0,6,5,40,0,0,0,0,0,0,0,0,0,0,0,0,"fall","10/10/2020",6.52629349470499,7.09246596066566,28.3681694402421,19.9813374802874
"12","Sebastian","2-South","orange",15,5,0,0,5,0,60,0,0,0,15,0,0,0,0,0,0,0,0,"fall","10/10/2020",6.52629349470499,7.09246596066566,28.3681694402421,19.9813374802874
"13","Sebastian","3-South","aqua",50,0,0,0,1,0,20,2,0,0,27,0,0,0,0,0,0,0,0,"fall","10/10/2020",6.52629349470499,7.09246596066566,28.3681694402421,19.9813374802874
"14","Sebastian","3-South","green",25,0,0,0,15,0,25,10,0,0,25,0,0,0,0,0,0,0,0,"fall","10/10/2020",6.52629349470499,7.09246596066566,28.3681694402421,19.9813374802874
"15","Sebastian","3-South","grey",45,0,0,0,8,0,40,0,0,0,7,0,0,0,0,0,0,0,0,"fall","10/10/2020",6.52629349470499,7.09246596066566,28.3681694402421,19.9813374802874
