"","Dock","Mat","Shell","Barnacles","Arb..Bryo.","Enc..Bryo.","Tubeworms","Hydroids","Tunicates","Oysters","Sponges","Anemones","Algae","Biofilm","Slippersnail","Feather.Duster.Worm","Amphipod.Tubes","Bare.Shell","Ribbed.Mussel","Silt","Green.Lipped.Mussel","Whelk.Eggs","Season","Date","pH-mean-days","salinity-mean-days","temp-mean-days","turbidity-mean-days"
"1","A1A","1-South","pink",50,0,0,0,0,0,15,0,0,0,34,1,0,0,0,0,0,0,0,"fall","10/28/2020",5.59528443113772,14.1655239520958,27.5809880239521,18.4549561296108
"2","A1A","1-South","purple",85,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,"fall","10/28/2020",5.59528443113772,14.1655239520958,27.5809880239521,18.4549561296108
"3","A1A","1-South","red",60,0,5,0,0,5,0,0,0,0,29,1,0,0,0,0,0,0,0,"fall","10/28/2020",5.59528443113772,14.1655239520958,27.5809880239521,18.4549561296108
"4","A1A","1-South","yellow",60,0,5,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,"fall","10/28/2020",5.59528443113772,14.1655239520958,27.5809880239521,18.4549561296108
"5","A1A","1-South","aqua",60,0,0,0,0,0,15,0,0,15,8,2,0,0,0,0,0,0,0,"fall","10/28/2020",5.59528443113772,14.1655239520958,27.5809880239521,18.4549561296108
"6","A1A","1-South","green",70,0,0,0,0,5,0,0,0,10,15,0,0,0,0,0,0,0,0,"fall","10/28/2020",5.59528443113772,14.1655239520958,27.5809880239521,18.4549561296108
"7","A1A","2-South","red",60,0,0,0,0,5,20,0,0,10,5,0,0,0,0,0,0,0,0,"fall","10/28/2020",5.59528443113772,14.1655239520958,27.5809880239521,18.4549561296108
"8","A1A","2-South","green",80,0,0,0,0,0,0,0,0,0,15,0,0,0,5,0,0,0,0,"fall","10/28/2020",5.59528443113772,14.1655239520958,27.5809880239521,18.4549561296108
"9","A1A","2-South","yellow",70,0,10,0,10,0,0,0,0,0,5,0,0,0,5,0,0,0,0,"fall","10/28/2020",5.59528443113772,14.1655239520958,27.5809880239521,18.4549561296108
"10","A1A","2-South","pink",85,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,"fall","10/28/2020",5.59528443113772,14.1655239520958,27.5809880239521,18.4549561296108
"11","A1A","2-South","purple",65,0,0,0,0,0,5,0,0,0,15,5,0,0,10,0,0,0,0,"fall","10/28/2020",5.59528443113772,14.1655239520958,27.5809880239521,18.4549561296108
"12","A1A","2-South","aqua",70,0,0,0,5,0,0,15,0,2,8,0,0,0,0,0,0,0,0,"fall","10/28/2020",5.59528443113772,14.1655239520958,27.5809880239521,18.4549561296108
