Timestamp (UTC-05:00),Value (Milligram per litre),Grade Code,Approval Level,Interpolation Type,Event Timestamp
4/11/2017 12:00,8.34,1,900,1,
4/11/2017 13:00,9,1,900,1,
4/11/2017 14:00,8.18,1,900,1,
4/11/2017 15:00,8.1,1,900,1,
4/11/2017 16:00,8.09,1,900,1,
4/11/2017 17:00,8.41,1,900,1,
4/11/2017 18:00,8.56,1,900,1,
4/11/2017 19:00,8.43,1,900,1,
4/11/2017 20:00,8.4,1,900,1,
4/11/2017 21:00,7.55,1,900,1,
4/11/2017 22:00,7.33,1,900,1,
4/11/2017 23:00,7.53,1,900,1,
4/12/2017 0:00,7.18,1,900,1,
4/12/2017 1:00,6.97,1,900,1,
4/12/2017 2:00,6.75,1,900,1,
4/12/2017 3:00,6.6,1,900,1,
4/12/2017 4:00,6.42,1,900,1,
4/12/2017 5:00,6.67,1,900,1,
4/12/2017 6:00,6.82,1,900,1,
4/12/2017 7:00,6.78,1,900,1,
4/12/2017 8:00,6.62,1,900,1,
4/12/2017 9:00,6.7,1,900,1,
4/12/2017 10:00,6.83,1,900,1,
4/12/2017 11:00,6.95,1,900,1,
4/12/2017 12:00,6.77,1,900,1,
4/12/2017 13:00,7.01,1,900,1,
4/12/2017 14:00,7.33,1,900,1,
4/12/2017 15:00,7.14,1,900,1,
4/12/2017 16:00,7.14,1,900,1,
4/12/2017 17:00,7.21,1,900,1,
4/12/2017 18:00,7.5,1,900,1,
4/12/2017 19:00,7.54,1,900,1,
4/12/2017 20:00,7.4,1,900,1,
4/12/2017 21:00,7.28,1,900,1,
4/12/2017 22:00,6.75,1,900,1,
4/12/2017 23:00,6.55,1,900,1,
4/13/2017 0:00,6.48,1,900,1,
4/13/2017 1:00,6.32,1,900,1,
4/13/2017 2:00,6.1,1,900,1,
4/13/2017 3:00,6.09,1,900,1,
4/13/2017 4:00,6,1,900,1,
4/13/2017 5:00,5.74,1,900,1,
4/13/2017 6:00,6.2,1,900,1,
4/13/2017 7:00,6.1,1,900,1,
4/13/2017 8:00,6.13,1,900,1,
4/13/2017 9:00,6.1,1,900,1,
4/13/2017 10:00,6.67,1,900,1,
4/13/2017 11:00,7.04,1,900,1,
4/13/2017 12:00,7.01,1,900,1,
4/13/2017 13:00,7.35,1,900,1,
4/13/2017 14:00,7.03,1,900,1,
4/13/2017 15:00,7,1,900,1,
4/13/2017 16:00,7.19,1,900,1,
4/13/2017 17:00,7.15,1,900,1,
4/13/2017 18:00,7.27,1,900,1,
4/13/2017 19:00,7.4,1,900,1,
4/13/2017 20:00,6.98,1,900,1,
4/13/2017 21:00,6.83,1,900,1,
4/13/2017 22:00,6.87,1,900,1,
4/13/2017 23:00,6.47,1,900,1,
4/14/2017 0:00,6.49,1,900,1,
4/14/2017 1:00,5.81,1,900,1,
4/14/2017 2:00,5.94,1,900,1,
4/14/2017 3:00,5.73,1,900,1,
4/14/2017 4:00,5.98,1,900,1,
4/14/2017 5:00,5.65,1,900,1,
4/14/2017 6:00,5.83,1,900,1,
4/14/2017 7:00,6.05,1,900,1,
4/14/2017 8:00,6.1,1,900,1,
4/14/2017 9:00,6.09,1,900,1,
4/14/2017 10:00,6.26,1,900,1,
4/14/2017 11:00,6.69,1,900,1,
4/14/2017 12:00,7.02,1,900,1,
4/14/2017 13:00,7.13,1,900,1,
4/14/2017 14:00,7.25,1,900,1,
4/14/2017 15:00,7.12,1,900,1,
4/14/2017 16:00,6.75,1,900,1,
4/14/2017 17:00,7.3,1,900,1,
4/14/2017 18:00,6.97,1,900,1,
4/14/2017 19:00,7.13,1,900,1,
4/14/2017 20:00,6.99,1,900,1,
4/14/2017 21:00,6.75,1,900,1,
4/14/2017 22:00,6.67,1,900,1,
4/14/2017 23:00,6.27,1,900,1,
4/15/2017 0:00,6.24,1,900,1,
4/15/2017 1:00,6.05,1,900,1,
4/15/2017 2:00,5.89,1,900,1,
4/15/2017 3:00,5.74,1,900,1,
4/15/2017 4:00,5.64,1,900,1,
4/15/2017 5:00,5.57,1,900,1,
4/15/2017 6:00,5.75,1,900,1,
4/15/2017 7:00,5.73,1,900,1,
