Dock,Mat,Shell,Barnacles,Arb. Bryo.,Enc. Bryo.,   Tubeworms,Hydroids,Tunicates,Oysters,Sponges,Anemones,Algae,Biofilm,Slippersnail,Feather Duster Worm,Amphipod Tubes,Bare Shell,Ribbed Mussel,Silt,Green Lipped Mussel,Whelk Eggs,Season,Date
MBP,1-South,red,25,0,0,0,0,0,0,0,0,0,64,0,0,0,0,1,10,0,0,fall,10/24/2020
MBP,1-South, green,40,0,10,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,fall,10/24/2020
MBP,1-South,aqua,60,0,15,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,fall,10/24/2020
MBP,1-South,yellow,15,0,10,1,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,fall,10/24/2020
MBP,1-South,pink,40,0,15,0,0,0,0,0,0,0,44,0,0,0,0,1,0,0,0,fall,10/24/2020
MBP,1-South,purple,60,0,10,0,10,0,0,0,0,0,20,0,0,0,0,0,0,0,0,fall,10/24/2020
MBP,2-South, aqua,15,0,20,0,0,0,1,0,0,0,14,50,0,0,0,0,0,0,0,fall,10/24/2020
MBP,2-South,red,20,0,10,1,0,0,5,0,0,0,44,20,0,0,0,0,0,0,0,fall,10/24/2020
MBP,2-South,yellow,40,0,5,0,0,5,5,0,0,0,40,5,0,0,0,0,0,0,0,fall,10/24/2020
MBP,2-South,green,15,0,5,1,0,0,10,25,0,0,34,10,0,0,0,0,0,0,0,fall,10/24/2020
MBP,2-South,pink,40,0,5,5,10,0,5,5,0,0,10,20,0,0,0,0,0,0,0,fall,10/24/2020
MBP,2-South,purple,60,0,0,0,10,0,0,15,0,0,15,0,0,0,0,0,0,0,0,fall,10/24/2020
MBP,3-South,aqua,10,0,5,5,0,0,40,0,0,0,30,10,0,0,0,0,0,0,0,fall,10/24/2020
MBP,3-South,pink,25,0,20,5,0,0,0,0,0,0,35,15,0,0,0,0,0,0,0,fall,10/24/2020
MBP,3-South,red,50,0,5,0,10,5,5,5,0,0,10,10,0,0,0,0,0,0,0,fall,10/24/2020
MBP,3-South,yellow,65,0,5,5,0,5,5,0,0,0,10,5,0,0,0,0,0,0,0,fall,10/24/2020
MBP,3-South,green,50,0,5,5,0,0,0,0,0,0,5,35,0,0,0,0,0,0,0,fall,10/24/2020
MBP,3-South,purple,50,0,15,5,0,0,20,0,0,0,0,10,0,0,0,0,0,0,0,fall,10/24/2020
MBP,4-South,yellow,15,0,0,2,0,0,0,0,0,0,73,10,0,0,0,0,0,0,0,fall,10/24/2020
MBP,4-South,green,25,0,10,1,0,0,1,20,0,0,28,15,0,0,0,0,0,0,0,fall,10/24/2020
MBP,4-South,red,40,0,15,5,10,5,15,0,0,0,5,5,0,0,0,0,0,0,0,fall,10/24/2020
MBP,4-South,aqua,60,0,0,0,0,0,0,20,0,0,15,5,0,0,0,0,0,0,0,fall,10/24/2020
MBP,4-South,pink,50,0,10,0,10,5,10,0,0,0,5,10,0,0,0,0,0,0,0,fall,10/24/2020
MBP,4-South,purple,60,0,5,0,0,0,0,10,0,0,15,10,0,0,0,0,0,0,0,fall,10/24/2020
MBP,6-North,aqua,48,0,2,0,1,0,2,1,1,0,43,2,0,0,0,0,0,0,0,fall,10/24/2020
MBP,6-North,purple,25,0,0,0,1,1,5,0,0,0,18,50,0,0,0,0,0,0,0,fall,10/24/2020
MBP,6-North,yellow,53,0,4,0,0,1,0,0,0,0,34,6,0,0,0,0,0,0,0,fall,10/24/2020
MBP,6-North,pink,25,0,0,0,0,0,0,0,0,0,73,2,0,0,0,0,0,0,0,fall,10/24/2020
MBP,6-North,green,40,0,8,0,1,0,5,0,0,0,46,0,0,0,0,0,0,0,0,fall,10/24/2020
MBP,6-North,red,15,0,35,0,1,0,1,1,0,0,35,12,0,0,0,0,0,0,0,fall,10/24/2020
MBP,7-North,aqua,43,0,2,0,1,1,3,0,1,0,39,10,0,0,0,0,0,0,0,fall,10/24/2020
MBP,7-North,green,28,0,0,0,0,0,1,0,0,0,61,10,0,0,0,0,0,0,0,fall,10/24/2020
MBP,7-North,yellow,40,0,1,1,0,0,2,1,1,0,49,5,0,0,0,0,0,0,0,fall,10/24/2020
MBP,7-North,p,48,0,1,0,10,0,2,1,0,0,36,2,0,0,0,0,0,0,0,fall,10/24/2020
MBP,7-North,red,40,0,3,1,2,0,0,0,1,0,51,6,0,0,0,0,0,0,0,fall,10/24/2020
MBP,7-North,pink,50,0,2,1,2,0,0,5,1,0,38,1,0,0,0,0,0,0,0,fall,10/24/2020
MBP,5-South,red,55,0,10,5,0,0,0,15,0,0,5,10,0,0,0,0,0,0,0,fall,10/24/2020
