Dock,Mat,Shell,Barnacles,Arb. Bryo.,Enc. Bryo.,   Tubeworms,Hydroids,Tunicates,Oysters,Sponges,Anemones,Algae,Biofilm,Slippersnail,Feather Duster Worm,Amphipod Tubes,Bare Shell,Ribbed Mussel,Silt,Green Lipped Mussel,Whelk Eggs,Season,Date
Melbourne Shores,1-South,green,70,0,10,0,0,0,0,1,0,0,19,0,0,0,0,0,0,0,0,fall,10/9/2020
Melbourne Shores,1-South,yellow,30,0,0,0,0,0,30,3,0,0,17,0,0,0,0,0,0,0,0,fall,10/9/2020
Melbourne Shores,1-South,pink,60,0,0,0,0,0,0,30,0,0,10,0,0,0,0,0,0,0,0,fall,10/9/2020
Melbourne Shores,1-South,aqua,5,0,0,0,0,0,40,0,0,0,45,0,0,0,0,0,0,0,0,fall,10/9/2020
Melbourne Shores,1-South,purple,5,0,0,1,0,0,30,1,0,0,63,0,0,0,0,0,0,0,0,fall,10/9/2020
Melbourne Shores,1-South,red,25,0,0,0,10,0,0,0,0,0,65,0,0,0,0,0,0,0,0,fall,10/9/2020
Melbourne Shores,1-North,red,2,0,0,0,0,0,60,15,1,0,22,0,0,0,0,0,0,0,0,fall,10/9/2020
Melbourne Shores,1-North,aqua,50,0,0,0,10,0,10,10,0,0,20,0,0,0,0,0,0,0,0,fall,10/9/2020
Melbourne Shores,1-North,yellow,40,0,0,0,10,0,0,0,0,0,50,0,0,0,0,0,0,0,0,fall,10/9/2020
Melbourne Shores,1-North,pink,40,0,0,0,0,0,0,50,0,0,10,0,0,0,0,0,0,0,0,fall,10/9/2020
Melbourne Shores,1-North,green,50,0,0,0,0,0,0,10,0,0,40,0,0,0,0,0,0,0,0,fall,10/9/2020
Melbourne Shores,1-North,purple,20,0,0,0,10,0,50,10,0,0,10,0,0,0,0,0,0,0,0,fall,10/9/2020
Melbourne Shores,2-North,green,60,0,15,0,0,1,0,0,0,0,24,0,0,0,0,0,0,0,0,fall,10/9/2020
Melbourne Shores,2-North,yellow,25,0,0,0,0,0,50,15,0,0,10,0,0,0,0,0,0,0,0,fall,10/9/2020
Melbourne Shores,2-North,red,50,0,5,0,10,0,30,0,0,0,5,0,0,0,0,0,0,0,0,fall,10/9/2020
Melbourne Shores,2-North,aqua,70,0,5,0,0,0,0,5,0,0,20,0,0,0,0,0,0,0,0,fall,10/9/2020
Melbourne Shores,2-North,purple,35,0,0,0,0,0,50,15,0,0,0,0,0,0,0,0,0,0,0,fall,10/9/2020
Melbourne Shores,2-North,pink,30,0,0,0,0,0,40,15,0,0,15,0,0,0,0,0,0,0,0,fall,10/9/2020
Melbourne Shores,2-South,green,40,0,0,0,0,0,50,0,0,0,10,0,0,0,0,0,0,0,0,fall,10/9/2020
Melbourne Shores,2-South,red,40,0,0,0,15,0,0,15,0,0,30,0,0,0,0,0,0,0,0,fall,10/9/2020
Melbourne Shores,2-South,aqua,5,0,0,0,0,0,70,20,0,0,5,0,0,0,0,0,0,0,0,fall,10/9/2020
Melbourne Shores,2-South,yellow,70,0,0,0,10,0,0,0,0,0,20,0,0,0,0,0,0,0,0,fall,10/9/2020
Melbourne Shores,2-South,purple,20,0,0,0,0,0,60,0,0,0,20,0,0,0,0,0,0,0,0,fall,10/9/2020
Melbourne Shores,2-South,pink,50,0,0,1,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,fall,10/9/2020
Melbourne Shores,3-South,purple,25,0,10,0,0,0,40,0,0,0,25,0,0,0,0,0,0,0,0,fall,10/9/2020
Melbourne Shores,3-South,yellow,80,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,fall,10/9/2020
Melbourne Shores,3-South,aqua,50,0,0,0,0,0,20,10,0,0,20,0,0,0,0,0,0,0,0,fall,10/9/2020
Melbourne Shores,3-South,red,70,0,0,0,0,0,0,15,0,0,15,0,0,0,0,0,0,0,0,fall,10/9/2020
Melbourne Shores,3-South,green,80,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,fall,10/9/2020
Melbourne Shores,3-South,pink,60,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,fall,10/9/2020
Melbourne Shores,3-North,green,60,0,10,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,fall,10/9/2020
