Timestamp (UTC-05:00),Value (Parts per thousand),Grade Code,Approval Level,Interpolation Type,Event Timestamp
4/26/2017 12:00,29.53711385,3,900,1,
4/26/2017 13:00,29.57492972,3,900,1,
4/26/2017 14:00,29.61979149,3,900,1,
4/26/2017 15:00,29.50654969,3,900,1,
4/26/2017 16:00,29.44835799,3,900,1,
4/26/2017 17:00,29.40348303,3,900,1,
4/26/2017 18:00,29.34661457,3,900,1,
4/26/2017 19:00,29.28171233,3,900,1,
4/26/2017 20:00,29.21358399,3,900,1,
4/26/2017 21:00,29.173611,3,900,1,
4/26/2017 22:00,29.12112563,3,900,1,
4/26/2017 23:00,29.10996381,3,900,1,
4/27/2017 0:00,29.09842857,3,900,1,
4/27/2017 1:00,29.06913565,3,900,1,
4/27/2017 2:00,29.05086595,3,900,1,
4/27/2017 3:00,29.03858536,3,900,1,
4/27/2017 4:00,29.17790004,3,900,1,
4/27/2017 5:00,29.21158526,3,900,1,
4/27/2017 6:00,29.19884356,3,900,1,
4/27/2017 7:00,29.19111183,3,900,1,
4/27/2017 8:00,29.20837326,3,900,1,
4/27/2017 9:00,29.23966274,3,900,1,
4/27/2017 10:00,29.45463887,3,900,1,
4/27/2017 11:00,29.56231053,3,900,1,
4/27/2017 12:00,29.64490752,3,900,1,
4/27/2017 13:00,29.51240831,3,900,1,
4/27/2017 14:00,29.31574934,3,900,1,
4/27/2017 15:00,29.2716372,3,900,1,
4/27/2017 16:00,29.20397073,3,900,1,
4/27/2017 17:00,29.08493127,3,900,1,
4/27/2017 18:00,29.01651487,3,900,1,
4/27/2017 19:00,28.9808789,3,900,1,
4/27/2017 20:00,28.97828489,3,900,1,
4/27/2017 21:00,29.05095012,3,900,1,
4/27/2017 22:00,29.04969152,3,900,1,
4/27/2017 23:00,29.01019899,3,900,1,
4/28/2017 0:00,29.02357088,3,900,1,
4/28/2017 1:00,29.19052989,3,900,1,
4/28/2017 2:00,29.41939252,3,900,1,
4/28/2017 3:00,29.39425531,3,900,1,
4/28/2017 4:00,29.28867896,3,900,1,
4/28/2017 5:00,29.29764634,3,900,1,
4/28/2017 6:00,29.31611564,3,900,1,
4/28/2017 7:00,29.51471127,3,900,1,
4/28/2017 8:00,29.61421957,3,900,1,
4/28/2017 9:00,29.73061077,3,900,1,
4/28/2017 10:00,29.69937161,3,900,1,
4/28/2017 11:00,29.57165883,3,900,1,
4/28/2017 12:00,29.39375068,3,900,1,
4/28/2017 13:00,29.37248631,3,900,1,
4/28/2017 14:00,29.33187183,3,900,1,
4/28/2017 15:00,29.26991022,3,900,1,
4/28/2017 16:00,29.32770679,3,900,1,
4/28/2017 17:00,29.40889177,3,900,1,
4/28/2017 18:00,29.40925609,3,900,1,
4/28/2017 19:00,29.49500629,3,900,1,
4/28/2017 20:00,29.4151807,3,900,1,
4/28/2017 21:00,29.23156384,3,900,1,
4/28/2017 22:00,29.24584557,3,900,1,
4/28/2017 23:00,29.43195315,3,900,1,
4/29/2017 0:00,29.47002568,3,900,1,
4/29/2017 1:00,29.65143391,3,900,1,
4/29/2017 2:00,29.71420196,3,900,1,
4/29/2017 3:00,29.67481091,3,900,1,
4/29/2017 4:00,29.63843081,3,900,1,
4/29/2017 5:00,29.60118158,3,900,1,
4/29/2017 6:00,29.51333149,3,900,1,
4/29/2017 7:00,29.54677156,3,900,1,
4/29/2017 8:00,29.43642216,3,900,1,
4/29/2017 9:00,29.08576541,3,900,1,
4/29/2017 10:00,29.34007592,3,900,1,
4/29/2017 11:00,29.10704025,3,900,1,
4/29/2017 12:00,28.93385188,3,900,1,
4/29/2017 13:00,28.92067296,3,900,1,
4/29/2017 14:00,29.13383283,3,900,1,
4/29/2017 15:00,29.2516732,3,900,1,
4/29/2017 16:00,29.32321303,3,900,1,
4/29/2017 17:00,29.21124634,3,900,1,
4/29/2017 18:00,29.26812111,3,900,1,
4/29/2017 19:00,29.28982536,3,900,1,
4/29/2017 20:00,29.43605678,3,900,1,
4/29/2017 21:00,29.50571676,3,900,1,
4/29/2017 22:00,29.63693819,3,900,1,
4/29/2017 23:00,29.72083295,3,900,1,
4/30/2017 0:00,29.79229527,3,900,1,
4/30/2017 1:00,29.59814986,3,900,1,
4/30/2017 2:00,29.40796135,3,900,1,
4/30/2017 3:00,29.23203428,3,900,1,
4/30/2017 4:00,28.95299557,3,900,1,
4/30/2017 5:00,29.23024194,3,900,1,
4/30/2017 6:00,28.81131213,3,900,1,
4/30/2017 7:00,29.07681748,3,900,1,
4/30/2017 8:00,28.82315806,3,900,1,
4/30/2017 9:00,28.72677138,3,900,1,
4/30/2017 10:00,28.72621208,3,900,1,
4/30/2017 11:00,28.81571607,3,900,1,
4/30/2017 12:00,28.98948891,3,900,1,
4/30/2017 13:00,29.1044678,3,900,1,
4/30/2017 14:00,28.99058281,3,900,1,
4/30/2017 15:00,28.67724116,3,900,1,
4/30/2017 16:00,28.43369392,3,900,1,
4/30/2017 17:00,28.4702577,3,900,1,
