Dock,Mat,Shell,Barnacles,Arb. Bryo.,Enc. Bryo.,   Tubeworms,Hydroids,Tunicates,Oysters,Sponges,Anemones,Algae,Biofilm,Slippersnail,Feather Duster Worm,Amphipod Tubes,Bare Shell,Ribbed Mussel,Silt,Green Lipped Mussel,Whelk Eggs,Season,Date
Sebastian,1-South,aqua,10,0,0,5,0,0,20,0,0,0,64,0,0,0,0,1,0,0,0,fall,10/10/2020
Sebastian,1-South,gray,5,0,0,0,0,0,25,10,0,0,60,0,0,0,0,0,0,0,0,fall,10/10/2020
Sebastian,1-South,black,1,0,0,0,5,0,5,40,0,0,49,0,0,0,0,0,0,0,0,fall,10/10/2020
Sebastian,1-South,orange,0,0,0,0,50,0,40,0,0,0,10,0,0,0,0,0,0,0,0,fall,10/10/2020
Sebastian,1-South,green,60,0,0,0,0,0,5,15,0,0,20,0,0,0,0,0,0,0,0,fall,10/10/2020
Sebastian,1-South,pink,50,0,0,0,5,0,15,15,0,0,15,0,0,0,0,0,0,0,0,fall,10/10/2020
Sebastian,2-South,aqua,75,0,0,0,10,1,5,0,0,0,9,0,0,0,0,0,0,0,0,fall,10/10/2020
Sebastian,2-South,grey,15,0,0,0,10,0,40,0,0,0,35,0,0,0,0,0,0,0,0,fall,10/10/2020
Sebastian,2-South,pink,47,0,5,1,8,0,0,0,0,0,39,0,0,0,0,0,0,0,0,fall,10/10/2020
Sebastian,2-South,dark blue,47,0,2,0,4,5,2,10,0,0,30,0,0,0,0,0,0,0,0,fall,10/10/2020
Sebastian,2-South,green,49,0,0,0,6,5,40,0,0,0,0,0,0,0,0,0,0,0,0,fall,10/10/2020
Sebastian,2-South,orange,15,5,0,0,5,0,60,0,0,0,15,0,0,0,0,0,0,0,0,fall,10/10/2020
Sebastian,3-South,aqua,50,0,0,0,1,0,20,2,0,0,27,0,0,0,0,0,0,0,0,fall,10/10/2020
Sebastian,3-South,green,25,0,0,0,15,0,25,10,0,0,25,0,0,0,0,0,0,0,0,fall,10/10/2020
Sebastian,3-South,grey,45,0,0,0,8,0,40,0,0,0,7,0,0,0,0,0,0,0,0,fall,10/10/2020
Sebastian,3-South,orange,3,0,0,0,1,0,50,1,0,0,44,0,0,0,0,1,0,0,0,fall,10/10/2020
Sebastian,3-South,dark blue,10,0,0,0,10,0,25,0,0,5,50,0,0,0,0,0,0,0,0,fall,10/10/2020
Sebastian,3-South,pink,10,0,0,0,0,0,80,5,0,0,5,0,0,0,0,0,0,0,0,fall,10/10/2020
Sebastian,4-North,green,10,0,0,0,0,10,20,20,0,0,40,0,0,0,0,0,0,0,0,fall,10/10/2020
Sebastian,4-North,gray,30,0,0,0,0,0,15,40,10,0,5,0,0,0,0,0,0,0,0,fall,10/10/2020
Sebastian,4-North,dark blue,15,0,0,0,10,0,0,15,0,0,60,0,0,0,0,0,0,0,0,fall,10/10/2020
Sebastian,4-North,orange,10,0,0,0,0,10,70,0,0,0,10,0,0,0,0,0,0,0,0,fall,10/10/2020
Sebastian,4-North,pink,50,0,0,0,10,0,0,0,0,0,40,0,0,0,0,0,0,0,0,fall,10/10/2020
Sebastian,4-North,aqua,15,0,0,0,0,10,40,20,0,0,15,0,0,0,0,0,0,0,0,fall,10/10/2020
Sebastian,1-South,green,5,1,5,0,5,2,10,40,0,0,32,0,0,0,0,0,0,0,0,spring,2/6/2021
Sebastian,1-South,aqua,10,0,25,1,5,0,30,0,0,5,24,0,0,0,0,0,0,0,0,spring,2/6/2021
Sebastian,1-South,dark blue,5,35,30,0,5,0,0,10,0,3,12,0,0,0,0,0,0,0,0,spring,2/6/2021
Sebastian,1-South,pink,20,30,15,0,10,0,0,20,0,0,5,0,0,0,0,0,0,0,0,spring,2/6/2021
Sebastian,1-South,gray,0,0,60,0,5,0,5,0,0,0,30,0,0,0,0,0,0,0,0,spring,2/6/2021
Sebastian,2-South,1 orange,0,5,0,0,5,0,59,25,0,0,5,0,0,0,0,1,0,0,0,spring,2/6/2021
Sebastian,2-South,2 green,20,10,0,0,0,0,25,20,0,5,20,0,0,0,0,0,0,0,0,spring,2/6/2021
Sebastian,2-South,3 gray,40,3,10,0,5,0,20,15,0,5,2,0,0,0,0,0,0,0,0,spring,2/6/2021
Sebastian,2-South,4 pink,0,0,5,0,5,0,80,0,0,5,5,0,0,0,0,0,0,0,0,spring,2/6/2021
Sebastian,2-South,5 aqua,15,10,0,0,0,0,20,10,0,0,20,0,0,0,0,0,0,0,0,spring,2/6/2021
Sebastian,3-South,1 orange,2,2,30,0,5,0,10,20,0,0,31,0,0,0,0,0,0,0,0,spring,2/6/2021
Sebastian,3-South,2 pink,30,0,15,0,5,0,15,20,0,0,15,0,0,0,0,0,0,0,0,spring,2/6/2021
Sebastian,3-South,3 green,2,50,20,0,2,0,0,20,0,0,6,0,0,0,0,0,0,0,0,spring,2/6/2021
Sebastian,3-South,4 aqua,20,0,20,0,0,0,10,30,0,5,15,0,0,0,0,0,0,0,0,spring,2/6/2021
Sebastian,4-North,1 orange,5,0,5,2,5,0,83,0,0,0,10,0,0,0,0,0,0,0,0,spring,2/6/2021
Sebastian,4-North,2 green,2,25,5,0,5,0,0,20,3,0,39,0,0,0,0,1,0,0,0,spring,2/6/2021
Sebastian,4-North,4 pink,10,0,10,0,5,0,60,0,0,5,10,0,0,0,0,0,0,0,0,spring,2/6/2021
Sebastian,4-North,5 aqua,10,10,0,0,0,0,50,20,0,0,10,0,0,0,0,0,0,0,0,spring,2/6/2021
Sebastian,4-North,6 dark blue,5,15,5,0,0,0,20,10,0,0,45,0,0,0,0,0,0,0,0,spring,2/6/2021
Sebastian,1-South,pink,0,25,0,0,5,0,20,20,0,0,25,0,0,0,5,0,0,0,0,summer,6/10/2021
Sebastian,1-South,red/orange,0,0,0,0,5,0,85,0,0,0,10,0,0,0,0,0,0,0,0,summer,6/10/2021
Sebastian,1-South,aqua,15,25,0,0,5,0,0,5,0,0,40,0,0,0,0,0,0,10,0,summer,6/10/2021
Sebastian,2-South,green,15,10,0,0,5,0,20,25,0,0,25,0,0,0,0,0,0,0,0,summer,6/10/2021
Sebastian,2-South,sark blue,20,5,10,0,0,0,10,25,1,0,39,0,0,0,0,0,0,0,0,summer,6/10/2021
Sebastian,2-South,aqua,10,15,0,0,0,0,40,0,0,0,25,0,0,0,0,0,0,0,0,summer,6/10/2021
Sebastian,2-South,pink ,60,10,0,0,5,0,0,0,1,0,24,0,0,0,0,0,0,0,0,summer,6/10/2021
Sebastian,3-South,grey,15,5,0,0,5,0,25,25,0,5,20,0,0,0,0,0,0,0,0,summer,6/10/2021
Sebastian,3-South,aqua,0,2,10,0,5,0,15,10,0,0,58,0,0,0,0,0,0,0,0,summer,6/10/2021
Sebastian,3-South,green,30,15,0,0,1,0,20,25,0,0,10,0,0,0,0,0,0,0,0,summer,6/10/2021
Sebastian,3-South,pink,5,5,0,2,0,0,25,30,0,0,32,0,0,0,0,0,0,0,0,summer,6/10/2021
