Timestamp (UTC-05:00),Value (Formazin Nephelometric Units),Grade Code,Approval Level,Interpolation Type,Event Timestamp
4/11/2017 14:00,2.31,21,900,1,
4/11/2017 15:00,1.83,21,900,1,
4/11/2017 16:00,2.35,21,900,1,
4/11/2017 17:00,2.5,21,900,1,
4/11/2017 18:00,2.79,21,900,1,
4/11/2017 19:00,2.56,21,900,1,
4/11/2017 20:00,2.86,21,900,1,
4/11/2017 21:00,2.53,21,900,1,
4/11/2017 22:00,2.54,21,900,1,
4/11/2017 23:00,2.27,21,900,1,
4/12/2017 0:00,1.73,21,900,1,
4/12/2017 1:00,1.88,21,900,1,
4/12/2017 2:00,1.9,21,900,1,
4/12/2017 3:00,2.15,21,900,1,
4/12/2017 4:00,1.99,21,900,1,
4/12/2017 5:00,2.38,21,900,1,
4/12/2017 6:00,4.02,21,900,1,
4/12/2017 7:00,2.55,21,900,1,
4/12/2017 8:00,4.03,21,900,1,
4/12/2017 9:00,3.23,21,900,1,
4/12/2017 10:00,2.53,21,900,1,
4/12/2017 11:00,3.02,21,900,1,
4/12/2017 12:00,3.1,21,900,1,
4/12/2017 13:00,2.98,21,900,1,
4/12/2017 14:00,2.98,21,900,1,
4/12/2017 15:00,2.53,21,900,1,
4/12/2017 16:00,2.5,21,900,1,
4/12/2017 17:00,2.88,21,900,1,
4/12/2017 18:00,3.17,21,900,1,
4/12/2017 19:00,2.87,21,900,1,
4/12/2017 20:00,2.54,21,900,1,
4/12/2017 21:00,2.62,21,900,1,
4/12/2017 22:00,2.95,21,900,1,
4/12/2017 23:00,2.26,21,900,1,
4/13/2017 0:00,2.31,21,900,1,
4/13/2017 1:00,2.74,21,900,1,
4/13/2017 2:00,2.25,21,900,1,
4/13/2017 3:00,2.15,21,900,1,
4/13/2017 4:00,1.87,21,900,1,
4/13/2017 5:00,2.15,21,900,1,
4/13/2017 6:00,1.86,21,900,1,
4/13/2017 7:00,2.55,21,900,1,
4/13/2017 8:00,2.27,21,900,1,
4/13/2017 9:00,2.02,21,900,1,
4/13/2017 10:00,2.31,21,900,1,
4/13/2017 11:00,4.42,21,900,1,
4/13/2017 12:00,3.26,21,900,1,
4/13/2017 13:00,3.43,21,900,1,
4/13/2017 14:00,2.97,21,900,1,
4/13/2017 15:00,2.28,21,900,1,
4/13/2017 16:00,2.37,21,900,1,
4/13/2017 17:00,2.5,21,900,1,
4/13/2017 18:00,3.95,21,900,1,
4/13/2017 19:00,3.55,21,900,1,
4/13/2017 20:00,3.44,21,900,1,
4/13/2017 21:00,3.39,21,900,1,
4/13/2017 22:00,3.62,21,900,1,
4/13/2017 23:00,2.96,21,900,1,
4/14/2017 0:00,2.8,21,900,1,
4/14/2017 1:00,2.6,21,900,1,
4/14/2017 2:00,2.08,21,900,1,
4/14/2017 3:00,2.26,21,900,1,
4/14/2017 4:00,2.35,21,900,1,
4/14/2017 5:00,2.55,21,900,1,
4/14/2017 6:00,2.71,21,900,1,
4/14/2017 7:00,2.56,21,900,1,
4/14/2017 8:00,2.3,21,900,1,
4/14/2017 9:00,3.01,21,900,1,
