Timestamp (UTC-05:00),Value (Celsius),Grade Code,Approval Level,Interpolation Type,Event Timestamp
4/11/2017 14:00,24.88,1,900,1,
4/11/2017 15:00,24.48,1,900,1,
4/11/2017 16:00,24.63,1,900,1,
4/11/2017 17:00,24.91,1,900,1,
4/11/2017 18:00,25.25,1,900,1,
4/11/2017 19:00,25.22,1,900,1,
4/11/2017 20:00,25.21,1,900,1,
4/11/2017 21:00,24.73,1,900,1,
4/11/2017 22:00,24.33,1,900,1,
4/11/2017 23:00,24.55,1,900,1,
4/12/2017 0:00,24.03,1,900,1,
4/12/2017 1:00,23.67,1,900,1,
4/12/2017 2:00,23.69,1,900,1,
4/12/2017 3:00,23.62,1,900,1,
4/12/2017 4:00,23.52,1,900,1,
4/12/2017 5:00,23.99,1,900,1,
4/12/2017 6:00,23.71,1,900,1,
4/12/2017 7:00,23.6,1,900,1,
4/12/2017 8:00,23.62,1,900,1,
4/12/2017 9:00,23.55,1,900,1,
4/12/2017 10:00,23.55,1,900,1,
4/12/2017 11:00,23.75,1,900,1,
4/12/2017 12:00,23.9,1,900,1,
4/12/2017 13:00,24.09,1,900,1,
4/12/2017 14:00,24.41,1,900,1,
4/12/2017 15:00,24.32,1,900,1,
4/12/2017 16:00,24.71,1,900,1,
4/12/2017 17:00,24.52,1,900,1,
4/12/2017 18:00,25.35,1,900,1,
4/12/2017 19:00,25.22,1,900,1,
4/12/2017 20:00,25.09,1,900,1,
4/12/2017 21:00,24.98,1,900,1,
4/12/2017 22:00,24.85,1,900,1,
4/12/2017 23:00,24.41,1,900,1,
4/13/2017 0:00,24.29,1,900,1,
4/13/2017 1:00,24.19,1,900,1,
4/13/2017 2:00,24.06,1,900,1,
4/13/2017 3:00,24.13,1,900,1,
4/13/2017 4:00,23.92,1,900,1,
4/13/2017 5:00,24.09,1,900,1,
4/13/2017 6:00,24.17,1,900,1,
4/13/2017 7:00,24.22,1,900,1,
4/13/2017 8:00,24,1,900,1,
4/13/2017 9:00,24.12,1,900,1,
4/13/2017 10:00,24.34,1,900,1,
4/13/2017 11:00,24.97,1,900,1,
4/13/2017 12:00,24.97,1,900,1,
4/13/2017 13:00,25.22,1,900,1,
4/13/2017 14:00,25.18,1,900,1,
4/13/2017 15:00,25.29,1,900,1,
4/13/2017 16:00,25.48,1,900,1,
4/13/2017 17:00,25.38,1,900,1,
4/13/2017 18:00,25.48,1,900,1,
4/13/2017 19:00,25.65,1,900,1,
4/13/2017 20:00,25.36,1,900,1,
4/13/2017 21:00,25.28,1,900,1,
4/13/2017 22:00,25.11,1,900,1,
4/13/2017 23:00,24.83,1,900,1,
4/14/2017 0:00,24.94,1,900,1,
4/14/2017 1:00,24.41,1,900,1,
4/14/2017 2:00,24.34,1,900,1,
4/14/2017 3:00,24.21,1,900,1,
4/14/2017 4:00,24.2,1,900,1,
4/14/2017 5:00,24.28,1,900,1,
4/14/2017 6:00,24.51,1,900,1,
4/14/2017 7:00,24.39,1,900,1,
4/14/2017 8:00,24.02,1,900,1,
4/14/2017 9:00,24.32,1,900,1,
4/14/2017 10:00,24.55,1,900,1,
4/14/2017 11:00,25.03,1,900,1,
4/14/2017 12:00,25.2,1,900,1,
4/14/2017 13:00,25.44,1,900,1,
4/14/2017 14:00,25.49,1,900,1,
4/14/2017 15:00,25.77,1,900,1,
4/14/2017 16:00,25.35,1,900,1,
4/14/2017 17:00,26.01,1,900,1,
4/14/2017 18:00,25.6,1,900,1,
4/14/2017 19:00,25.73,1,900,1,
4/14/2017 20:00,25.65,1,900,1,
4/14/2017 21:00,25.45,1,900,1,
4/14/2017 22:00,25.31,1,900,1,
4/14/2017 23:00,24.7,1,900,1,
4/15/2017 0:00,24.6,1,900,1,
4/15/2017 1:00,24.65,1,900,1,
4/15/2017 2:00,24.38,1,900,1,
4/15/2017 3:00,24.37,1,900,1,
4/15/2017 4:00,23.98,1,900,1,
4/15/2017 5:00,23.79,1,900,1,
4/15/2017 6:00,23.78,1,900,1,
4/15/2017 7:00,23.48,1,900,1,
4/15/2017 8:00,23.64,1,900,1,
4/15/2017 9:00,23.87,1,900,1,
4/15/2017 10:00,24.23,1,900,1,
4/15/2017 11:00,24.85,1,900,1,
4/15/2017 12:00,25.24,1,900,1,
