Timestamp (UTC-05:00),Value (Celsius),Grade Code,Approval Level,Interpolation Type,Event Timestamp
4/20/2017 10:00,24.48,1,1100,1,
4/20/2017 11:00,24.63,1,1100,1,
4/20/2017 11:00,NaN,-3,1100,1,
4/20/2017 18:59,NaN,-3,1100,1,
4/20/2017 19:00,25.33,1,1100,1,
4/20/2017 19:00,NaN,-3,1100,1,
4/21/2017 1:59,NaN,-3,1100,1,
4/21/2017 2:00,24.59,1,1100,1,
4/21/2017 2:00,NaN,-3,1100,1,
4/21/2017 4:59,NaN,-3,1100,1,
4/21/2017 5:00,24.29,1,1100,1,
4/21/2017 5:00,NaN,-3,1100,1,
4/27/2017 8:59,NaN,-3,1100,1,
4/27/2017 9:00,24.9,1,1100,1,
4/27/2017 10:00,25,1,1100,1,
4/27/2017 11:00,25.22,1,1100,1,
4/27/2017 12:00,25.6,1,1100,1,
4/27/2017 13:00,25.65,1,1100,1,
4/27/2017 14:00,25.67,1,1100,1,
4/27/2017 15:00,25.94,1,1100,1,
4/27/2017 16:00,26.22,1,1100,1,
4/27/2017 17:00,26.47,1,1100,1,
4/27/2017 18:00,26.61,1,1100,1,
4/27/2017 19:00,26.61,1,1100,1,
4/27/2017 20:00,26.61,1,1100,1,
4/27/2017 21:00,26.67,1,1100,1,
4/27/2017 22:00,26.65,1,1100,1,
4/27/2017 23:00,26.64,1,1100,1,
4/28/2017 0:00,26.63,1,1100,1,
4/28/2017 1:00,26.57,1,1100,1,
4/28/2017 2:00,26.47,1,1100,1,
4/28/2017 3:00,26.35,1,1100,1,
4/28/2017 4:00,26.29,1,1100,1,
4/28/2017 5:00,26.33,1,1100,1,
4/28/2017 6:00,26.37,1,1100,1,
4/28/2017 7:00,26.27,1,1100,1,
4/28/2017 8:00,26.16,1,1100,1,
4/28/2017 9:00,26.29,1,1100,1,
4/28/2017 10:00,26.33,1,1100,1,
4/28/2017 11:00,26.74,1,1100,1,
4/28/2017 12:00,26.9,1,1100,1,
4/28/2017 13:00,27.08,1,1100,1,
4/28/2017 14:00,27.23,1,1100,1,
4/28/2017 15:00,27.54,1,1100,1,
4/28/2017 16:00,27.78,1,1100,1,
4/28/2017 17:00,27.8,1,1100,1,
4/28/2017 18:00,27.61,1,1100,1,
4/28/2017 19:00,27.49,1,1100,1,
4/28/2017 20:00,27.42,1,1100,1,
4/28/2017 21:00,27.43,1,1100,1,
4/28/2017 22:00,27.45,1,1100,1,
4/28/2017 23:00,27.38,1,1100,1,
4/29/2017 0:00,27.34,1,1100,1,
4/29/2017 1:00,27.22,1,1100,1,
4/29/2017 2:00,27.19,1,1100,1,
4/29/2017 3:00,27.21,1,1100,1,
4/29/2017 4:00,27.09,1,1100,1,
4/29/2017 5:00,27.04,1,1100,1,
4/29/2017 6:00,26.97,1,1100,1,
4/29/2017 7:00,26.89,1,1100,1,
4/29/2017 8:00,26.93,1,1100,1,
4/29/2017 9:00,27.04,1,1100,1,
4/29/2017 10:00,27.17,1,1100,1,
4/29/2017 11:00,27.3,1,1100,1,
4/29/2017 12:00,27.42,1,1100,1,
4/29/2017 13:00,27.39,1,1100,1,
4/29/2017 14:00,27.37,1,1100,1,
4/29/2017 15:00,27.41,1,1100,1,
4/29/2017 16:00,27.46,1,1100,1,
4/29/2017 17:00,27.47,1,1100,1,
4/29/2017 18:00,27.48,1,1100,1,
4/29/2017 19:00,27.43,1,1100,1,
4/29/2017 20:00,27.49,1,1100,1,
4/29/2017 21:00,27.42,1,1100,1,
4/29/2017 22:00,27.4,1,1100,1,
4/29/2017 23:00,27.45,1,1100,1,
4/30/2017 0:00,27.38,1,1100,1,
4/30/2017 1:00,27.2,1,1100,1,
4/30/2017 2:00,27.05,1,1100,1,
4/30/2017 3:00,27.35,1,1100,1,
4/30/2017 4:00,27.09,1,1100,1,
4/30/2017 5:00,26.86,1,1100,1,
4/30/2017 6:00,26.81,1,1100,1,
4/30/2017 7:00,26.71,1,1100,1,
4/30/2017 8:00,26.68,1,1100,1,
4/30/2017 9:00,26.74,1,1100,1,
4/30/2017 10:00,26.64,1,1100,1,
4/30/2017 11:00,26.53,1,1100,1,
4/30/2017 12:00,26.75,1,1100,1,
4/30/2017 13:00,26.84,1,1100,1,
4/30/2017 14:00,26.91,1,1100,1,
4/30/2017 15:00,27.03,1,1100,1,
4/30/2017 16:00,27.18,1,1100,1,
4/30/2017 17:00,27.29,1,1100,1,
4/30/2017 18:00,27.29,1,1100,1,
4/30/2017 19:00,27.24,1,1100,1,
4/30/2017 20:00,27.09,1,1100,1,
4/30/2017 21:00,26.99,1,1100,1,
4/30/2017 22:00,27.06,1,1100,1,
4/30/2017 23:00,26.98,1,1100,1,
5/1/2017 0:00,26.92,1,1100,1,
5/1/2017 1:00,26.89,1,1100,1,
5/1/2017 2:00,26.81,1,1100,1,
5/1/2017 3:00,26.61,1,1100,1,
5/1/2017 4:00,26.68,1,1100,1,
5/1/2017 5:00,26.78,1,1100,1,
5/1/2017 6:00,26.68,1,1100,1,
5/1/2017 7:00,26.59,1,1100,1,
5/1/2017 8:00,26.5,1,1100,1,
5/1/2017 9:00,26.35,1,1100,1,
5/1/2017 10:00,26.34,1,1100,1,
5/1/2017 11:00,26.42,1,1100,1,
5/1/2017 12:00,26.58,1,1100,1,
5/1/2017 13:00,26.79,1,1100,1,
5/1/2017 14:00,27.03,1,1100,1,
5/1/2017 15:00,27.29,1,1100,1,
5/1/2017 16:00,27.51,1,1100,1,
5/1/2017 17:00,27.47,1,1100,1,
5/1/2017 18:00,27.31,1,1100,1,
5/1/2017 19:00,27.2,1,1100,1,
5/1/2017 20:00,27.16,1,1100,1,
5/1/2017 21:00,27.08,1,1100,1,
5/1/2017 22:00,27.11,1,1100,1,
5/1/2017 23:00,27.15,1,1100,1,
5/2/2017 0:00,26.93,1,1100,1,
5/2/2017 1:00,26.69,1,1100,1,
5/2/2017 2:00,26.53,1,1100,1,
5/2/2017 3:00,26.45,1,1100,1,
5/2/2017 4:00,26.66,1,1100,1,
5/2/2017 5:00,26.68,1,1100,1,
5/2/2017 6:00,26.61,1,1100,1,
5/2/2017 7:00,26.69,1,1100,1,
5/2/2017 8:00,26.62,1,1100,1,
5/2/2017 9:00,26.71,1,1100,1,
5/2/2017 10:00,26.82,1,1100,1,
5/2/2017 11:00,26.97,1,1100,1,
5/2/2017 12:00,26.94,1,1100,1,
5/2/2017 13:00,26.86,1,1100,1,
5/2/2017 14:00,26.91,1,1100,1,
5/2/2017 15:00,26.91,1,1100,1,
5/2/2017 16:00,26.93,1,1100,1,
5/2/2017 17:00,26.95,1,1100,1,
5/2/2017 18:00,26.94,1,1100,1,
5/2/2017 19:00,26.9,1,1100,1,
5/2/2017 20:00,26.88,1,1100,1,
5/2/2017 21:00,26.84,1,1100,1,
5/2/2017 22:00,26.79,1,1100,1,
5/2/2017 23:00,26.76,1,1100,1,
5/3/2017 0:00,26.75,1,1100,1,
5/3/2017 1:00,26.74,1,1100,1,
5/3/2017 2:00,26.69,1,1100,1,
5/3/2017 3:00,26.62,1,1100,1,
5/3/2017 4:00,26.61,1,1100,1,
5/3/2017 5:00,26.58,1,1100,1,
5/3/2017 6:00,26.55,1,1100,1,
5/3/2017 7:00,26.52,1,1100,1,
5/3/2017 8:00,26.6,1,1100,1,
5/3/2017 9:00,26.72,1,1100,1,
5/3/2017 10:00,26.91,1,1100,1,
5/3/2017 11:00,27.06,1,1100,1,
5/3/2017 12:00,27.13,1,1100,1,
5/3/2017 13:00,27.29,1,1100,1,
5/3/2017 14:00,27.47,1,1100,1,
5/3/2017 15:00,27.49,1,1100,1,
5/3/2017 16:00,27.56,1,1100,1,
5/3/2017 17:00,27.56,1,1100,1,
5/3/2017 18:00,27.55,1,1100,1,
5/3/2017 19:00,27.49,1,1100,1,
5/3/2017 20:00,27.43,1,1100,1,
5/3/2017 21:00,27.35,1,1100,1,
5/3/2017 22:00,27.28,1,1100,1,
5/3/2017 23:00,27.18,1,1100,1,
5/4/2017 0:00,27.12,1,1100,1,
5/4/2017 1:00,27.05,1,1100,1,
5/4/2017 2:00,26.97,1,1100,1,
5/4/2017 3:00,26.93,1,1100,1,
5/4/2017 4:00,26.91,1,1100,1,
5/4/2017 5:00,26.83,1,1100,1,
5/4/2017 6:00,26.78,1,1100,1,
5/4/2017 7:00,26.77,1,1100,1,
5/4/2017 8:00,26.79,1,1100,1,
5/4/2017 9:00,26.91,1,1100,1,
5/4/2017 10:00,26.95,1,1100,1,
5/4/2017 11:00,27.12,1,1100,1,
5/4/2017 12:00,27.27,1,1100,1,
5/4/2017 13:00,27.39,1,1100,1,
5/4/2017 14:00,27.47,1,1100,1,
5/4/2017 15:00,27.68,1,1100,1,
5/4/2017 16:00,27.76,1,1100,1,
5/4/2017 17:00,27.88,1,1100,1,
5/4/2017 18:00,27.82,1,1100,1,
5/4/2017 19:00,27.74,1,1100,1,
5/4/2017 20:00,27.57,1,1100,1,
5/4/2017 21:00,27.35,1,1100,1,
5/4/2017 22:00,27.21,1,1100,1,
5/4/2017 23:00,27.12,1,1100,1,
5/5/2017 0:00,27.11,1,1100,1,
5/5/2017 1:00,27.09,1,1100,1,
5/5/2017 2:00,27.05,1,1100,1,
5/5/2017 3:00,27.06,1,1100,1,
5/5/2017 4:00,27.03,1,1100,1,
5/5/2017 5:00,27,1,1100,1,
5/5/2017 6:00,26.84,1,1100,1,
5/5/2017 7:00,26.87,1,1100,1,
5/5/2017 8:00,26.67,1,1100,1,
5/5/2017 9:00,26.76,1,1100,1,
5/5/2017 10:00,26.77,1,1100,1,
5/5/2017 11:00,26.86,1,1100,1,
5/5/2017 12:00,26.79,1,1100,1,
5/5/2017 13:00,26.88,1,1100,1,
5/5/2017 14:00,26.98,1,1100,1,
5/5/2017 15:00,27.02,1,1100,1,
5/5/2017 16:00,26.99,1,1100,1,
5/5/2017 17:00,26.87,1,1100,1,
5/5/2017 18:00,26.74,1,1100,1,
5/5/2017 19:00,26.68,1,1100,1,
5/5/2017 20:00,26.6,1,1100,1,
5/5/2017 21:00,26.41,1,1100,1,
5/5/2017 22:00,26.18,1,1100,1,
5/5/2017 23:00,26.07,1,1100,1,
5/6/2017 0:00,25.89,1,1100,1,
5/6/2017 1:00,25.78,1,1100,1,
5/6/2017 2:00,25.77,1,1100,1,
5/6/2017 3:00,25.59,1,1100,1,
5/6/2017 4:00,25.72,1,1100,1,
5/6/2017 5:00,25.53,1,1100,1,
5/6/2017 6:00,25.45,1,1100,1,
5/6/2017 7:00,25.28,1,1100,1,
5/6/2017 8:00,25.17,1,1100,1,
5/6/2017 9:00,25.09,1,1100,1,
5/6/2017 10:00,25.09,1,1100,1,
5/6/2017 11:00,25.06,1,1100,1,
5/6/2017 12:00,25.14,1,1100,1,
5/6/2017 13:00,25.19,1,1100,1,
5/6/2017 14:00,25.3,1,1100,1,
5/6/2017 15:00,25.38,1,1100,1,
5/6/2017 16:00,25.42,1,1100,1,
