Date,Dock,Temperature,Salinity,Secchi,Dock,Season,Percent Covered,Mat Number
1/27/2021,IAP,21.6,20.1,50,IAP,Spring,99.61,S1
1/27/2021,IAP,21.6,20.1,50,IAP,Spring,99.06,N2
1/27/2021,IAP,21.6,20.1,50,IAP,Spring,99.09,N3
1/27/2021,IAP,21.6,20.1,50,IAP,Spring,97.07,N4
1/27/2021,IAP,21.6,20.1,50,IAP,Spring,99.27,S5
1/29/2021,Wingate,16,24.3,50,Wingate,Spring,98.1,S5
1/29/2021,Wingate,16,24.3,50,Wingate,Spring,95.67,S1
1/29/2021,Wingate,16,24.3,50,Wingate,Spring,96.68,N2
1/29/2021,Wingate,16,24.3,50,Wingate,Spring,100,S3
1/29/2021,Wingate,16,24.3,50,Wingate,Spring,96.63,N6
1/29/2021,Wingate,16,24.3,50,Wingate,Spring,98.46,N4
10/10/2020,Sebastian,28.2,25,30,Sebastian,Fall,97.94,S2
10/10/2020,Sebastian,28.2,25,30,Sebastian,Fall,97.87,N4
10/10/2020,Sebastian,28.2,25,30,Sebastian,Fall,97.38,3S
10/10/2020,Sebastian,28.2,25,30,Sebastian,Fall,100,S1
10/14/2020,Wingate,29.5,18,40,Wingate,Fall,91.83,S3
10/14/2020,Wingate,29.5,18,40,Wingate,Fall,85.32,S1
10/14/2020,Wingate,29.5,18,40,Wingate,Fall,84.92,N2
10/14/2020,Wingate,29.5,18,40,Wingate,Fall,99.94,S5
10/14/2020,Wingate,29.5,18,40,Wingate,Fall,79.86,N4
10/14/2020,Wingate,29.5,18,40,Wingate,Fall,82.07,N6
10/2/2020,IAP,25.9,21,33,IAP,Fall,78.61,S5
10/2/2020,IAP,25.9,21,33,IAP,Fall,52.36,S1
10/2/2020,IAP,25.9,21,33,IAP,Fall,73.49,N2
10/2/2020,IAP,25.9,21,33,IAP,Fall,75.96,N3
10/2/2020,IAP,25.9,21,33,IAP,Fall,82.53,N4
10/21/2020,Lighthouse Cove,26.4,23.2,160,Lighthouse Cove,Fall,83.75,N1
10/21/2020,Lighthouse Cove,26.4,23.2,160,Lighthouse Cove,Fall,78.11,S4
10/21/2020,Lighthouse Cove,26.4,23.2,160,Lighthouse Cove,Fall,70.77,S2
10/21/2020,Lighthouse Cove,26.4,23.2,160,Lighthouse Cove,Fall,96.19,N3
10/21/2020,Lighthouse Cove,26.4,23.2,160,Lighthouse Cove,Fall,99.47,N6
10/21/2020,Lighthouse Cove,26.4,23.2,160,Lighthouse Cove,Fall,93.83,S5
10/24/2020,Melbourne Beach Pier,25.9,17.5,130,Melbourne Beach Pier,Fall,89.03,S1
