Dock,Mat,Shell,Barnacles,Arb. Bryo.,Enc. Bryo.,   Tubeworms,Hydroids,Tunicates,Oysters,Sponges,Anemones,Algae,Biofilm,Slippersnail,Feather Duster Worm,Amphipod Tubes,Bare Shell,Ribbed Mussel,Silt,Green Lipped Mussel,Whelk Eggs,Season,Date
Wingate,1-South,yellow,15,0,0,3,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,fall,10/14/2020
Wingate,1-South,green,60,0,5,0,0,0,0,25,0,0,0,0,0,0,0,0,10,0,0,fall,10/14/2020
Wingate,1-South,purple,50,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,fall,10/14/2020
Wingate,1-South,aqua,60,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,fall,10/14/2020
Wingate,1-South,pink,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,fall,10/14/2020
Wingate,1-South,red,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,fall,10/14/2020
Wingate,2-North,green,70,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,fall,10/14/2020
Wingate,2-North,red,60,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,fall,10/14/2020
Wingate,2-North,aqua,0,0,20,0,0,0,0,0,0,0,0,40,0,0,0,0,40,0,0,fall,10/14/2020
Wingate,2-North,purple,5,0,0,1,0,0,0,0,0,0,0,0,0,0,84,0,10,0,0,fall,10/14/2020
Wingate,2-North,pink,50,0,20,0,0,0,0,0,0,0,0,10,0,0,0,0,20,0,0,fall,10/14/2020
Wingate,2-North,yellow,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,fall,10/14/2020
Wingate,3-South,pink,80,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,fall,10/14/2020
Wingate,3-South,aqua,20,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,fall,10/14/2020
Wingate,3-South,orange,70,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,20,0,0,fall,10/14/2020
Wingate,3-South,dark blue,40,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,50,0,0,fall,10/14/2020
Wingate,3-South,yellow,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,fall,10/14/2020
Wingate,3-South,green,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,fall,10/14/2020
Wingate,4-North,red,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,fall,10/14/2020
Wingate,4-North,green,70,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,fall,10/14/2020
Wingate,4-North,dark blue,60,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,fall,10/14/2020
Wingate,4-North,purple,70,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,fall,10/14/2020
Wingate,4-North,yellow,60,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,25,0,0,fall,10/14/2020
Wingate,4-North,pink,80,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,15,0,0,fall,10/14/2020
Wingate,5-South,red,0,0,30,0,0,0,0,0,0,0,0,30,0,0,0,0,40,0,0,fall,10/14/2020
Wingate,5-South,aqua,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,fall,10/14/2020
Wingate,5-South,green,75,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,fall,10/14/2020
Wingate,5-South,pink,80,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,fall,10/14/2020
Wingate,5-South,purple,30,0,5,0,0,0,0,10,0,0,0,0,0,0,0,0,55,0,0,fall,10/14/2020
Wingate,5-South,yellow,30,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,60,0,0,fall,10/14/2020
Wingate,6-South,pink,40,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,fall,10/14/2020
Wingate,6-South,red,40,0,30,0,0,0,0,0,0,0,0,0,0,0,10,0,20,0,0,fall,10/14/2020
Wingate,6-South,purple,70,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,fall,10/14/2020
Wingate,6-South,green,50,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,fall,10/14/2020
Wingate,6-South,aqua,50,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,fall,10/14/2020
Wingate,6-South,yellow,80,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,fall,10/14/2020
