""	"Date"	"pH_ScientificUnits"	"Salinity_PartsPerThousand"	"WaterTemp_Celcius"	"Turbidity_FNU"	"DissOxy_MilligramPerLitre"
"1"	2021-01-01 00:00:00	8.44	18.25414488	19.17	3.27	8.44
"2"	2021-01-01 01:00:00	8.43	18.25029512	19.18	3.36	8.37
"3"	2021-01-01 02:00:00	8.42	18.25532265	19.18	3.43	8.25
"4"	2021-01-01 03:00:00	8.42	18.25081134	19.17	3.12	8.14
"5"	2021-01-01 04:00:00	8.42	18.23540762	19.15	3.33	8.04
"6"	2021-01-01 05:00:00	8.41	18.2368414	19.14	3.33	7.9
"7"	2021-01-01 06:00:00	8.41	18.23070393	19.13	3.45	7.82
"8"	2021-01-01 07:00:00	8.41	18.22290202	19.13	3.51	7.72
"9"	2021-01-01 08:00:00	8.44	18.17873569	18.98	3.81	7.88
"10"	2021-01-01 09:00:00	8.44	18.17397453	18.99	3.8	7.9
"11"	2021-01-01 10:00:00	8.45	18.17275925	19.22	3.74	8.33
"12"	2021-01-01 11:00:00	8.42	18.27195906	19.91	3.47	8.25
"13"	2021-01-01 12:00:00	8.41	18.31586957	20.21	2.9	8.27
"14"	2021-01-01 13:00:00	8.45	18.28301821	20.44	3.26	8.84
"15"	2021-01-01 14:00:00	8.48	18.2539628	20.6	3.49	9.34
"16"	2021-01-01 15:00:00	8.51	18.22995887	20.71	3.44	9.71
"17"	2021-01-01 16:00:00	8.51	18.2204985	20.81	3.71	9.73
"18"	2021-01-01 17:00:00	8.51	18.21327863	20.84	3.98	9.69
"19"	2021-01-01 18:00:00	8.48	18.24261749	20.93	3.61	9.38
"20"	2021-01-01 19:00:00	8.47	18.2822727	21.11	3.42	8.9
"21"	2021-01-01 20:00:00	8.45	18.32383502	21.28	3.2	8.63
"22"	2021-01-01 21:00:00	8.45	18.25497274	21.09	3.37	8.63
"23"	2021-01-01 22:00:00	8.47	18.44995823	21.52	3.02	8.37
"24"	2021-01-01 23:00:00	8.43	18.41936239	21.54	3	8.04
"25"	2021-01-02 00:00:00	8.4	18.34298423	21.65	2.86	7.79
"26"	2021-01-02 01:00:00	8.41	18.41960492	21.48	3.08	7.79
"27"	2021-01-02 02:00:00	8.4	18.43282982	21.41	2.77	7.62
"28"	2021-01-02 03:00:00	8.42	18.41677239	21.53	3.23	7.47
"29"	2021-01-02 04:00:00	8.41	18.47979409	21.3	3.95	7.49
"30"	2021-01-02 05:00:00	8.38	18.32838928	20.99	4.46	7.4
"31"	2021-01-02 06:00:00	8.32	18.32801886	20.84	3.57	7.02
"32"	2021-01-02 07:00:00	8.35	18.34282813	20.88	3.95	6.95
