"","Date","pH_ScientificUnits","Salinity_PartsPerThousand","WaterTemp_Celcius","Turbidity_FNU","DissOxy_MilligramPerLitre"
"1",2017-04-26 14:00:00,8.2,29.61979149,24.84,3.24,7.03
"2",2017-04-26 15:00:00,8.21,29.50654969,25.25,2.55,7.45
"3",2017-04-26 16:00:00,8.21,29.44835799,25.48,2.31,7.32
"4",2017-04-26 17:00:00,8.23,29.40348303,25.46,2.28,7.75
"5",2017-04-26 18:00:00,8.23,29.34661457,25.4,2.73,7.74
"6",2017-04-26 19:00:00,8.23,29.28171233,25.29,2.47,7.58
"7",2017-04-26 20:00:00,8.22,29.21358399,25.19,3.06,7.38
"8",2017-04-26 21:00:00,8.21,29.173611,25.08,4.51,7.18
"9",2017-04-26 22:00:00,8.2,29.12112563,25.03,3.11,6.95
"10",2017-04-26 23:00:00,8.2,29.10996381,24.94,2.61,6.94
"11",2017-04-27 00:00:00,8.18,29.09842857,24.85,2.74,6.33
"12",2017-04-27 01:00:00,8.19,29.06913565,24.78,3.18,6.29
"13",2017-04-27 02:00:00,8.19,29.05086595,24.72,2.84,6.26
"14",2017-04-27 03:00:00,8.18,29.03858536,24.65,2.55,6.24
"15",2017-04-27 04:00:00,8.17,29.17790004,24.67,2.68,6.11
"16",2017-04-27 05:00:00,8.17,29.21158526,24.61,2.57,6
"17",2017-04-27 06:00:00,8.16,29.19884356,24.55,2.31,5.83
"18",2017-04-27 07:00:00,8.16,29.19111183,24.51,2.36,5.69
"19",2017-04-27 08:00:00,8.16,29.20837326,24.52,2.52,5.8
"20",2017-04-27 09:00:00,8.17,29.23966274,24.57,2.33,6.04
"21",2017-04-27 10:00:00,8.17,29.45463887,24.73,3.22,6.16
"22",2017-04-27 11:00:00,8.18,29.56231053,24.86,3.56,6.49
"23",2017-04-27 12:00:00,8.2,29.64490752,25.05,4.13,7.05
"24",2017-04-27 13:00:00,8.21,29.51240831,25.53,3.24,7.15
"25",2017-04-27 14:00:00,8.2,29.31574934,26.25,2.49,7.34
