"","Date","DissOxy_MilligramPerLitre","Turbidity_FNU","WaterTemp_Celcius","Salinity_PartsPerThousand"
"1",2017-04-20 10:00:00,7.300278876,1.00964177,24.48,28.81297993
"2",2017-04-20 11:00:00,7.510588901,1.079260422,24.63,28.82189388
"30",2017-04-20 19:00:00,9.323729375,2.955641848,25.33,29.30349527
"44",2017-04-21 02:00:00,7.985439953,2.063047109,24.59,29.91371707
"54",2017-04-21 05:00:00,7.876314677,1.532146845,24.29,29.8716893
"70",2017-04-27 09:00:00,6.262067082,0.678085499,24.9,35.11724139
"71",2017-04-27 10:00:00,6.342862192,0.946291708,25,35.11178312
"72",2017-04-27 11:00:00,6.937154122,0.617666775,25.22,34.81350074
"73",2017-04-27 12:00:00,7.259634914,0.587460225,25.6,34.84525403
"74",2017-04-27 13:00:00,7.350548885,0.786019982,25.65,35.2057164
"75",2017-04-27 14:00:00,7.451539769,1.412243835,25.67,35.54801214
"76",2017-04-27 15:00:00,7.663309291,2.515819756,25.94,35.94287076
"77",2017-04-27 16:00:00,7.603193473,5.260307823,26.22,35.95767705
"78",2017-04-27 17:00:00,7.110025917,5.67748641,26.47,36.21299522
"79",2017-04-27 18:00:00,7.029740565,6.19408593,26.61,36.44691208
"80",2017-04-27 19:00:00,7.009878753,5.716212441,26.61,36.50648187
"81",2017-04-27 20:00:00,6.879222583,5.397474428,26.61,36.56382759
"82",2017-04-27 21:00:00,6.758628402,5.546114086,26.67,36.59609389
"83",2017-04-27 22:00:00,6.567514422,6.112370025,26.65,36.58288231
"84",2017-04-27 23:00:00,6.42675151,5.047912844,26.64,36.64103781
"85",2017-04-28 00:00:00,6.326272035,4.291750657,26.63,36.64916505
"86",2017-04-28 01:00:00,6.326525346,3.038509424,26.57,36.62288571
"87",2017-04-28 02:00:00,6.195810313,2.491244416,26.47,36.61411036
"88",2017-04-28 03:00:00,6.145683931,2.272096667,26.35,36.60641795
"89",2017-04-28 04:00:00,6.075402928,1.764656455,26.29,36.54077924
"90",2017-04-28 05:00:00,5.95473779,1.933255218,26.33,36.22592624
"91",2017-04-28 06:00:00,5.773606364,2.340426604,26.37,36.26480627
"92",2017-04-28 07:00:00,5.904832081,1.753506756,26.27,36.05746385
"93",2017-04-28 08:00:00,6.015914474,1.26602721,26.16,35.90325922
"94",2017-04-28 09:00:00,6.086696498,1.285519879,26.29,35.93619979
"95",2017-04-28 10:00:00,6.308649907,1.245372986,26.33,35.85082473
