"","Mat","Shell","Barnacles","Arb..Bryo.","Enc..Bryo.","Tubeworms","Hydroids","Tunicates","Oysters","Sponges","Anemones","Algae","Biofilm","Slippersnail","Feather.Duster.Worm","Amphipod.Tubes","Bare.Shell","Ribbed.Mussel","Silt","Green.Lipped.Mussel","Whelk.Eggs","Season","Date","banana.pH_ScientificUnits.mean.1.days","banana.Salinity_PartsPerThousand.mean.1.days","banana.WaterTemp_Celcius.mean.1.days","banana.Turbidity_FNU.mean.1.days","banana.DissOxy_MilligramPerLitre.mean.1.days","banana.pH_ScientificUnits.min.1.days","banana.Salinity_PartsPerThousand.min.1.days","banana.WaterTemp_Celcius.min.1.days","banana.Turbidity_FNU.min.1.days","banana.DissOxy_MilligramPerLitre.min.1.days","banana.pH_ScientificUnits.max.1.days","banana.Salinity_PartsPerThousand.max.1.days","banana.WaterTemp_Celcius.max.1.days","banana.Turbidity_FNU.max.1.days","banana.DissOxy_MilligramPerLitre.max.1.days","banana.pH_ScientificUnits.mean.7.days","banana.Salinity_PartsPerThousand.mean.7.days","banana.WaterTemp_Celcius.mean.7.days","banana.Turbidity_FNU.mean.7.days","banana.DissOxy_MilligramPerLitre.mean.7.days","banana.pH_ScientificUnits.min.7.days","banana.Salinity_PartsPerThousand.min.7.days","banana.WaterTemp_Celcius.min.7.days","banana.Turbidity_FNU.min.7.days","banana.DissOxy_MilligramPerLitre.min.7.days","banana.pH_ScientificUnits.max.7.days","banana.Salinity_PartsPerThousand.max.7.days","banana.WaterTemp_Celcius.max.7.days","banana.Turbidity_FNU.max.7.days","banana.DissOxy_MilligramPerLitre.max.7.days","banana.pH_ScientificUnits.mean.14.days","banana.Salinity_PartsPerThousand.mean.14.days","banana.WaterTemp_Celcius.mean.14.days","banana.Turbidity_FNU.mean.14.days","banana.DissOxy_MilligramPerLitre.mean.14.days","banana.pH_ScientificUnits.min.14.days","banana.Salinity_PartsPerThousand.min.14.days","banana.WaterTemp_Celcius.min.14.days","banana.Turbidity_FNU.min.14.days","banana.DissOxy_MilligramPerLitre.min.14.days","banana.pH_ScientificUnits.max.14.days","banana.Salinity_PartsPerThousand.max.14.days","banana.WaterTemp_Celcius.max.14.days","banana.Turbidity_FNU.max.14.days","banana.DissOxy_MilligramPerLitre.max.14.days","banana.pH_ScientificUnits.mean.36.days","banana.Salinity_PartsPerThousand.mean.36.days","banana.WaterTemp_Celcius.mean.36.days","banana.Turbidity_FNU.mean.36.days","banana.DissOxy_MilligramPerLitre.mean.36.days","banana.pH_ScientificUnits.min.36.days","banana.Salinity_PartsPerThousand.min.36.days","banana.WaterTemp_Celcius.min.36.days","banana.Turbidity_FNU.min.36.days","banana.DissOxy_MilligramPerLitre.min.36.days","banana.pH_ScientificUnits.max.36.days","banana.Salinity_PartsPerThousand.max.36.days","banana.WaterTemp_Celcius.max.36.days","banana.Turbidity_FNU.max.36.days","banana.DissOxy_MilligramPerLitre.max.36.days","banana.pH_ScientificUnits.mean.50.days","banana.Salinity_PartsPerThousand.mean.50.days","banana.WaterTemp_Celcius.mean.50.days","banana.Turbidity_FNU.mean.50.days","banana.DissOxy_MilligramPerLitre.mean.50.days","banana.pH_ScientificUnits.min.50.days","banana.Salinity_PartsPerThousand.min.50.days","banana.WaterTemp_Celcius.min.50.days","banana.Turbidity_FNU.min.50.days","banana.DissOxy_MilligramPerLitre.min.50.days","banana.pH_ScientificUnits.max.50.days","banana.Salinity_PartsPerThousand.max.50.days","banana.WaterTemp_Celcius.max.50.days","banana.Turbidity_FNU.max.50.days","banana.DissOxy_MilligramPerLitre.max.50.days","banana.pH_ScientificUnits.mean.75.days","banana.Salinity_PartsPerThousand.mean.75.days","banana.WaterTemp_Celcius.mean.75.days","banana.Turbidity_FNU.mean.75.days","banana.DissOxy_MilligramPerLitre.mean.75.days","banana.pH_ScientificUnits.min.75.days","banana.Salinity_PartsPerThousand.min.75.days","banana.WaterTemp_Celcius.min.75.days","banana.Turbidity_FNU.min.75.days","banana.DissOxy_MilligramPerLitre.min.75.days","banana.pH_ScientificUnits.max.75.days","banana.Salinity_PartsPerThousand.max.75.days","banana.WaterTemp_Celcius.max.75.days","banana.Turbidity_FNU.max.75.days","banana.DissOxy_MilligramPerLitre.max.75.days","banana.pH_ScientificUnits.mean.100.days","banana.Salinity_PartsPerThousand.mean.100.days","banana.WaterTemp_Celcius.mean.100.days","banana.Turbidity_FNU.mean.100.days","banana.DissOxy_MilligramPerLitre.mean.100.days","banana.pH_ScientificUnits.min.100.days","banana.Salinity_PartsPerThousand.min.100.days","banana.WaterTemp_Celcius.min.100.days","banana.Turbidity_FNU.min.100.days","banana.DissOxy_MilligramPerLitre.min.100.days","banana.pH_ScientificUnits.max.100.days","banana.Salinity_PartsPerThousand.max.100.days","banana.WaterTemp_Celcius.max.100.days","banana.Turbidity_FNU.max.100.days","banana.DissOxy_MilligramPerLitre.max.100.days"
"1","1-South","red",0.801,0.001,0.101,0.001,0.001,0.001,0.001,0.001,0.001,0.051,0.051,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,"fall","10/2/2020",8.19913043478261,20.2241845830435,25.4508695652174,25.3639130434783,7.1304347826087,8.12,20.19934796,24.96,20.58,5.89,8.27,20.28193038,25.87,28.35,8.53,8.10888888888889,20.6040055460494,27.2053086419753,20.633950617284,6.05623456790123,7.84,20.19934796,24.96,15.79,2.64,8.32,21.12073413,28.94,28.95,8.53,8.10446808510638,20.8577472088146,27.0663829787234,20.0038905775076,6.29358662613982,7.84,20.19934796,24.96,7.29,2.64,8.4,21.54685808,30.12,34.58,10.16,8.31266044340723,21.0723660499183,28.8837456242707,14.8049008168028,6.38365227537923,7.84,20.19934796,24.96,2.43,2.64,8.63,21.64280987,32.47,34.58,10.16,8.40611064543168,21.1476680198659,29.3568734283319,12.0304442581727,6.3819949706622,7.84,20.19934796,24.96,1.19,2.64,8.96,22.13058759,32.86,34.58,10.16,8.5738963963964,21.5520643755856,29.7317792792793,9.50856418918919,6.7397240990991,7.84,20.19293185,24.96,0.91,2.64,9.21,22.90293647,33.05,34.58,11.06,8.58774449339207,21.3954139559119,29.9234713656388,8.0796872246696,6.80983259911894,7.84,19.72645688,24.96,0.01,2.64,9.21,22.90293647,33.05,34.58,11.06
"2","1-South","green",0.401,0.001,0.051,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.551,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,"fall","10/2/2020",8.19913043478261,20.2241845830435,25.4508695652174,25.3639130434783,7.1304347826087,8.12,20.19934796,24.96,20.58,5.89,8.27,20.28193038,25.87,28.35,8.53,8.10888888888889,20.6040055460494,27.2053086419753,20.633950617284,6.05623456790123,7.84,20.19934796,24.96,15.79,2.64,8.32,21.12073413,28.94,28.95,8.53,8.10446808510638,20.8577472088146,27.0663829787234,20.0038905775076,6.29358662613982,7.84,20.19934796,24.96,7.29,2.64,8.4,21.54685808,30.12,34.58,10.16,8.31266044340723,21.0723660499183,28.8837456242707,14.8049008168028,6.38365227537923,7.84,20.19934796,24.96,2.43,2.64,8.63,21.64280987,32.47,34.58,10.16,8.40611064543168,21.1476680198659,29.3568734283319,12.0304442581727,6.3819949706622,7.84,20.19934796,24.96,1.19,2.64,8.96,22.13058759,32.86,34.58,10.16,8.5738963963964,21.5520643755856,29.7317792792793,9.50856418918919,6.7397240990991,7.84,20.19293185,24.96,0.91,2.64,9.21,22.90293647,33.05,34.58,11.06,8.58774449339207,21.3954139559119,29.9234713656388,8.0796872246696,6.80983259911894,7.84,19.72645688,24.96,0.01,2.64,9.21,22.90293647,33.05,34.58,11.06
"3","1-South","pink",0.301,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.651,0.051,0.001,0.001,0.001,0.001,0.001,0.001,0.001,"fall","10/2/2020",8.19913043478261,20.2241845830435,25.4508695652174,25.3639130434783,7.1304347826087,8.12,20.19934796,24.96,20.58,5.89,8.27,20.28193038,25.87,28.35,8.53,8.10888888888889,20.6040055460494,27.2053086419753,20.633950617284,6.05623456790123,7.84,20.19934796,24.96,15.79,2.64,8.32,21.12073413,28.94,28.95,8.53,8.10446808510638,20.8577472088146,27.0663829787234,20.0038905775076,6.29358662613982,7.84,20.19934796,24.96,7.29,2.64,8.4,21.54685808,30.12,34.58,10.16,8.31266044340723,21.0723660499183,28.8837456242707,14.8049008168028,6.38365227537923,7.84,20.19934796,24.96,2.43,2.64,8.63,21.64280987,32.47,34.58,10.16,8.40611064543168,21.1476680198659,29.3568734283319,12.0304442581727,6.3819949706622,7.84,20.19934796,24.96,1.19,2.64,8.96,22.13058759,32.86,34.58,10.16,8.5738963963964,21.5520643755856,29.7317792792793,9.50856418918919,6.7397240990991,7.84,20.19293185,24.96,0.91,2.64,9.21,22.90293647,33.05,34.58,11.06,8.58774449339207,21.3954139559119,29.9234713656388,8.0796872246696,6.80983259911894,7.84,19.72645688,24.96,0.01,2.64,9.21,22.90293647,33.05,34.58,11.06
"4","1-South","purple",0.101,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.901,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,"fall","10/2/2020",8.19913043478261,20.2241845830435,25.4508695652174,25.3639130434783,7.1304347826087,8.12,20.19934796,24.96,20.58,5.89,8.27,20.28193038,25.87,28.35,8.53,8.10888888888889,20.6040055460494,27.2053086419753,20.633950617284,6.05623456790123,7.84,20.19934796,24.96,15.79,2.64,8.32,21.12073413,28.94,28.95,8.53,8.10446808510638,20.8577472088146,27.0663829787234,20.0038905775076,6.29358662613982,7.84,20.19934796,24.96,7.29,2.64,8.4,21.54685808,30.12,34.58,10.16,8.31266044340723,21.0723660499183,28.8837456242707,14.8049008168028,6.38365227537923,7.84,20.19934796,24.96,2.43,2.64,8.63,21.64280987,32.47,34.58,10.16,8.40611064543168,21.1476680198659,29.3568734283319,12.0304442581727,6.3819949706622,7.84,20.19934796,24.96,1.19,2.64,8.96,22.13058759,32.86,34.58,10.16,8.5738963963964,21.5520643755856,29.7317792792793,9.50856418918919,6.7397240990991,7.84,20.19293185,24.96,0.91,2.64,9.21,22.90293647,33.05,34.58,11.06,8.58774449339207,21.3954139559119,29.9234713656388,8.0796872246696,6.80983259911894,7.84,19.72645688,24.96,0.01,2.64,9.21,22.90293647,33.05,34.58,11.06
"5","1-South","yellow",0.751,0.001,0.051,0.001,0.001,0.001,0.001,0.001,0.041,0.001,0.661,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,"fall","10/2/2020",8.19913043478261,20.2241845830435,25.4508695652174,25.3639130434783,7.1304347826087,8.12,20.19934796,24.96,20.58,5.89,8.27,20.28193038,25.87,28.35,8.53,8.10888888888889,20.6040055460494,27.2053086419753,20.633950617284,6.05623456790123,7.84,20.19934796,24.96,15.79,2.64,8.32,21.12073413,28.94,28.95,8.53,8.10446808510638,20.8577472088146,27.0663829787234,20.0038905775076,6.29358662613982,7.84,20.19934796,24.96,7.29,2.64,8.4,21.54685808,30.12,34.58,10.16,8.31266044340723,21.0723660499183,28.8837456242707,14.8049008168028,6.38365227537923,7.84,20.19934796,24.96,2.43,2.64,8.63,21.64280987,32.47,34.58,10.16,8.40611064543168,21.1476680198659,29.3568734283319,12.0304442581727,6.3819949706622,7.84,20.19934796,24.96,1.19,2.64,8.96,22.13058759,32.86,34.58,10.16,8.5738963963964,21.5520643755856,29.7317792792793,9.50856418918919,6.7397240990991,7.84,20.19293185,24.96,0.91,2.64,9.21,22.90293647,33.05,34.58,11.06,8.58774449339207,21.3954139559119,29.9234713656388,8.0796872246696,6.80983259911894,7.84,19.72645688,24.96,0.01,2.64,9.21,22.90293647,33.05,34.58,11.06
"6","1-South","aqua",0.951,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.051,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,"fall","10/2/2020",8.19913043478261,20.2241845830435,25.4508695652174,25.3639130434783,7.1304347826087,8.12,20.19934796,24.96,20.58,5.89,8.27,20.28193038,25.87,28.35,8.53,8.10888888888889,20.6040055460494,27.2053086419753,20.633950617284,6.05623456790123,7.84,20.19934796,24.96,15.79,2.64,8.32,21.12073413,28.94,28.95,8.53,8.10446808510638,20.8577472088146,27.0663829787234,20.0038905775076,6.29358662613982,7.84,20.19934796,24.96,7.29,2.64,8.4,21.54685808,30.12,34.58,10.16,8.31266044340723,21.0723660499183,28.8837456242707,14.8049008168028,6.38365227537923,7.84,20.19934796,24.96,2.43,2.64,8.63,21.64280987,32.47,34.58,10.16,8.40611064543168,21.1476680198659,29.3568734283319,12.0304442581727,6.3819949706622,7.84,20.19934796,24.96,1.19,2.64,8.96,22.13058759,32.86,34.58,10.16,8.5738963963964,21.5520643755856,29.7317792792793,9.50856418918919,6.7397240990991,7.84,20.19293185,24.96,0.91,2.64,9.21,22.90293647,33.05,34.58,11.06,8.58774449339207,21.3954139559119,29.9234713656388,8.0796872246696,6.80983259911894,7.84,19.72645688,24.96,0.01,2.64,9.21,22.90293647,33.05,34.58,11.06
"7","2-North","yellow",0.601,0.001,0.151,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.251,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,"fall","10/2/2020",8.19913043478261,20.2241845830435,25.4508695652174,25.3639130434783,7.1304347826087,8.12,20.19934796,24.96,20.58,5.89,8.27,20.28193038,25.87,28.35,8.53,8.10888888888889,20.6040055460494,27.2053086419753,20.633950617284,6.05623456790123,7.84,20.19934796,24.96,15.79,2.64,8.32,21.12073413,28.94,28.95,8.53,8.10446808510638,20.8577472088146,27.0663829787234,20.0038905775076,6.29358662613982,7.84,20.19934796,24.96,7.29,2.64,8.4,21.54685808,30.12,34.58,10.16,8.31266044340723,21.0723660499183,28.8837456242707,14.8049008168028,6.38365227537923,7.84,20.19934796,24.96,2.43,2.64,8.63,21.64280987,32.47,34.58,10.16,8.40611064543168,21.1476680198659,29.3568734283319,12.0304442581727,6.3819949706622,7.84,20.19934796,24.96,1.19,2.64,8.96,22.13058759,32.86,34.58,10.16,8.5738963963964,21.5520643755856,29.7317792792793,9.50856418918919,6.7397240990991,7.84,20.19293185,24.96,0.91,2.64,9.21,22.90293647,33.05,34.58,11.06,8.58774449339207,21.3954139559119,29.9234713656388,8.0796872246696,6.80983259911894,7.84,19.72645688,24.96,0.01,2.64,9.21,22.90293647,33.05,34.58,11.06
"8","2-North","red",0.601,0.001,0.151,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.251,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,"fall","10/2/2020",8.19913043478261,20.2241845830435,25.4508695652174,25.3639130434783,7.1304347826087,8.12,20.19934796,24.96,20.58,5.89,8.27,20.28193038,25.87,28.35,8.53,8.10888888888889,20.6040055460494,27.2053086419753,20.633950617284,6.05623456790123,7.84,20.19934796,24.96,15.79,2.64,8.32,21.12073413,28.94,28.95,8.53,8.10446808510638,20.8577472088146,27.0663829787234,20.0038905775076,6.29358662613982,7.84,20.19934796,24.96,7.29,2.64,8.4,21.54685808,30.12,34.58,10.16,8.31266044340723,21.0723660499183,28.8837456242707,14.8049008168028,6.38365227537923,7.84,20.19934796,24.96,2.43,2.64,8.63,21.64280987,32.47,34.58,10.16,8.40611064543168,21.1476680198659,29.3568734283319,12.0304442581727,6.3819949706622,7.84,20.19934796,24.96,1.19,2.64,8.96,22.13058759,32.86,34.58,10.16,8.5738963963964,21.5520643755856,29.7317792792793,9.50856418918919,6.7397240990991,7.84,20.19293185,24.96,0.91,2.64,9.21,22.90293647,33.05,34.58,11.06,8.58774449339207,21.3954139559119,29.9234713656388,8.0796872246696,6.80983259911894,7.84,19.72645688,24.96,0.01,2.64,9.21,22.90293647,33.05,34.58,11.06
"9","2-North","green",0.601,0.001,0.251,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.101,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,"fall","10/2/2020",8.19913043478261,20.2241845830435,25.4508695652174,25.3639130434783,7.1304347826087,8.12,20.19934796,24.96,20.58,5.89,8.27,20.28193038,25.87,28.35,8.53,8.10888888888889,20.6040055460494,27.2053086419753,20.633950617284,6.05623456790123,7.84,20.19934796,24.96,15.79,2.64,8.32,21.12073413,28.94,28.95,8.53,8.10446808510638,20.8577472088146,27.0663829787234,20.0038905775076,6.29358662613982,7.84,20.19934796,24.96,7.29,2.64,8.4,21.54685808,30.12,34.58,10.16,8.31266044340723,21.0723660499183,28.8837456242707,14.8049008168028,6.38365227537923,7.84,20.19934796,24.96,2.43,2.64,8.63,21.64280987,32.47,34.58,10.16,8.40611064543168,21.1476680198659,29.3568734283319,12.0304442581727,6.3819949706622,7.84,20.19934796,24.96,1.19,2.64,8.96,22.13058759,32.86,34.58,10.16,8.5738963963964,21.5520643755856,29.7317792792793,9.50856418918919,6.7397240990991,7.84,20.19293185,24.96,0.91,2.64,9.21,22.90293647,33.05,34.58,11.06,8.58774449339207,21.3954139559119,29.9234713656388,8.0796872246696,6.80983259911894,7.84,19.72645688,24.96,0.01,2.64,9.21,22.90293647,33.05,34.58,11.06
"10","2-North","purple",0.651,0.001,0.101,0.001,0.001,0.001,0.001,0.001,0.081,0.001,0.171,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,"fall","10/2/2020",8.19913043478261,20.2241845830435,25.4508695652174,25.3639130434783,7.1304347826087,8.12,20.19934796,24.96,20.58,5.89,8.27,20.28193038,25.87,28.35,8.53,8.10888888888889,20.6040055460494,27.2053086419753,20.633950617284,6.05623456790123,7.84,20.19934796,24.96,15.79,2.64,8.32,21.12073413,28.94,28.95,8.53,8.10446808510638,20.8577472088146,27.0663829787234,20.0038905775076,6.29358662613982,7.84,20.19934796,24.96,7.29,2.64,8.4,21.54685808,30.12,34.58,10.16,8.31266044340723,21.0723660499183,28.8837456242707,14.8049008168028,6.38365227537923,7.84,20.19934796,24.96,2.43,2.64,8.63,21.64280987,32.47,34.58,10.16,8.40611064543168,21.1476680198659,29.3568734283319,12.0304442581727,6.3819949706622,7.84,20.19934796,24.96,1.19,2.64,8.96,22.13058759,32.86,34.58,10.16,8.5738963963964,21.5520643755856,29.7317792792793,9.50856418918919,6.7397240990991,7.84,20.19293185,24.96,0.91,2.64,9.21,22.90293647,33.05,34.58,11.06,8.58774449339207,21.3954139559119,29.9234713656388,8.0796872246696,6.80983259911894,7.84,19.72645688,24.96,0.01,2.64,9.21,22.90293647,33.05,34.58,11.06
